ANO,MES,COD_CLIENTE,CLIENTE_DESCRICAO,MATERIAL_DESCRICAO_CATEGORIA,VALOR_RUPTURA_MONETARIO,VALOR_PEDIDO_MONETARIO,VOLUME_RUPTURA_UND,RUPTURA_PERCENTUAL,ESTOQUE,DDV,COBERTURA_DIAS,TIPO_CLIENTE,CONTATO_CLIENTE,VLR_VOLUME_REAL,CIDADE,UF,PAIS
2021,1,AA,ESMERALDA,ACESSÓRIOS,17917.35,6227.34,630,2.877,408,15.57,26,ESPECIAL,JOÃO,19678,RIO BRANCO,AC,BR
2021,1,AA,ESMERALDA,CABELOS,19967.92,58047.95,799,0.344,1072,36.93,29,ESPECIAL,JOÃO,19678,RIO BRANCO,AC,BR
2021,1,AA,ESMERALDA,CUIDADOS COM A BARBA,1224.16,1571.94,32,0.779,72,2.65,27,ESPECIAL,JOÃO,19678,RIO BRANCO,AC,BR
2021,1,AA,ESMERALDA,CUIDADOS COM A PELE,33830.42,164652.68,805,0.205,5220,121.04,43,ESPECIAL,JOÃO,19678,RIO BRANCO,AC,BR
2021,1,AA,ESMERALDA,CUIDADOS FACIAIS,3538.65,15115.23,46,0.234,247,6.53,38,ESPECIAL,JOÃO,19678,RIO BRANCO,AC,BR
2021,1,AA,ESMERALDA,DESODORANTES,38532.62,86203.63,1949,0.447,2760,90.43,31,ESPECIAL,JOÃO,19678,RIO BRANCO,AC,BR
2021,1,AA,ESMERALDA,EMBALAGENS,,444.49,0,0.0,,,,,,19678,RIO BRANCO,AC,BR
2021,1,AA,ESMERALDA,GIFTS,9471.9,18299.58,123,0.518,274,11.67,23,ESPECIAL,JOÃO,19678,RIO BRANCO,AC,BR
2021,1,AA,,,,,,,27,2.26,12,ESPECIAL,JOÃO,19678,RIO BRANCO,AC,BR
2021,1,AA,ESMERALDA,INFANTIL,3970.76,26135.14,185,0.152,690,13.72,50,ESPECIAL,JOÃO,19678,RIO BRANCO,AC,BR
2021,1,AA,ESMERALDA,MAQUIAGEM,17988.32,39833.7,861,0.452,1726,52.71,33,ESPECIAL,JOÃO,19678,RIO BRANCO,AC,BR
2021,1,AA,ESMERALDA,PERFUMARIA,14609.38,687057.92,170,0.021,9807,181.47,54,ESPECIAL,JOÃO,19678,RIO BRANCO,AC,BR
2021,1,AA,ESMERALDA,SABONETE CORPO,4607.27,11533.31,242,0.399,827,38.69,21,ESPECIAL,JOÃO,19678,RIO BRANCO,AC,BR
2021,1,AA,ESMERALDA,SOLAR,157.03,660.68,3,0.238,33,1.18,28,ESPECIAL,JOÃO,19678,RIO BRANCO,AC,BR
2021,1,AA,ESMERALDA,SUPORTE À VENDA,,11719.3,0,0.0,,,,,,19678,RIO BRANCO,AC,BR
2021,1,AA,ESMERALDA,UNHAS,998.95,1114.88,117,0.896,47,2.35,20,ESPECIAL,JOÃO,19678,RIO BRANCO,AC,BR
2021,1,AA,ESMERALDA,ÓLEOS,3842.27,8345.21,69,0.46,153,6.61,23,ESPECIAL,JOÃO,19678,RIO BRANCO,AC,BR
2021,2,AA,ESMERALDA,ACESSÓRIOS,6999.45,5385.28,172,1.3,429,8.78,49,ESPECIAL,JOÃO,12587,RIO BRANCO,AC,BR
2021,2,AA,ESMERALDA,CABELOS,11707.05,24516.14,385,0.478,986,56.69,17,ESPECIAL,JOÃO,12587,RIO BRANCO,AC,BR
2021,2,AA,ESMERALDA,CUIDADOS COM A BARBA,1077.25,2689.42,29,0.401,54,1.41,38,ESPECIAL,JOÃO,12587,RIO BRANCO,AC,BR
2021,2,AA,ESMERALDA,CUIDADOS COM A PELE,23329.39,104981.72,629,0.222,3470,68.53,51,ESPECIAL,JOÃO,12587,RIO BRANCO,AC,BR
2021,2,AA,ESMERALDA,CUIDADOS FACIAIS,1601.58,11796.53,26,0.136,208,6.45,32,ESPECIAL,JOÃO,12587,RIO BRANCO,AC,BR
2021,2,AA,ESMERALDA,DESODORANTES,8587.04,50322.4,340,0.171,2340,72.27,32,ESPECIAL,JOÃO,12587,RIO BRANCO,AC,BR
2021,2,AA,ESMERALDA,EMBALAGENS,,11.17,0,0.0,,,,,,12587,RIO BRANCO,AC,BR
2021,2,AA,ESMERALDA,GIFTS,1673.08,15218.74,35,0.11,471,18.4,26,ESPECIAL,JOÃO,12587,RIO BRANCO,AC,BR
2021,2,AA,ESMERALDA,HOME CARE,3279.22,757.22,124,4.331,,,,,,12587,RIO BRANCO,AC,BR
2021,2,AA,ESMERALDA,INFANTIL,2075.41,8649.28,70,0.24,507,22.8,22,ESPECIAL,JOÃO,12587,RIO BRANCO,AC,BR
2021,2,AA,ESMERALDA,MAQUIAGEM,9258.81,30573.83,293,0.303,1084,41.54,26,ESPECIAL,JOÃO,12587,RIO BRANCO,AC,BR
2021,2,AA,ESMERALDA,PERFUMARIA,26731.51,421266.42,372,0.063,8958,159.85,56,ESPECIAL,JOÃO,12587,RIO BRANCO,AC,BR
2021,2,AA,ESMERALDA,SABONETE CORPO,1930.98,22024.76,77,0.088,383,19.77,19,ESPECIAL,JOÃO,12587,RIO BRANCO,AC,BR
2021,2,AA,ESMERALDA,SOLAR,501.88,1496.38,11,0.335,19,0.86,22,ESPECIAL,JOÃO,12587,RIO BRANCO,AC,BR
2021,2,AA,ESMERALDA,SUPORTE À VENDA,,10069.07,0,0.0,,,,,,12587,RIO BRANCO,AC,BR
2021,2,AA,ESMERALDA,UNHAS,221.73,649.64,22,0.341,59,4.66,13,ESPECIAL,JOÃO,12587,RIO BRANCO,AC,BR
2021,2,AA,ESMERALDA,ÓLEOS,1693.57,7141.63,26,0.237,142,4.86,29,ESPECIAL,JOÃO,12587,RIO BRANCO,AC,BR
2021,3,AA,ESMERALDA,ACESSÓRIOS,6356.7,4155.83,173,1.53,371,7.14,52,ESPECIAL,JOÃO,8156,RIO BRANCO,AC,BR
2021,3,AA,ESMERALDA,CABELOS,7956.29,22250.77,252,0.358,1458,72.52,20,ESPECIAL,JOÃO,8156,RIO BRANCO,AC,BR
2021,3,AA,ESMERALDA,CUIDADOS COM A BARBA,253.36,1174.07,6,0.216,46,1.86,25,ESPECIAL,JOÃO,8156,RIO BRANCO,AC,BR
2021,3,AA,ESMERALDA,CUIDADOS COM A PELE,9532.21,61539.8,237,0.155,4876,94.83,51,ESPECIAL,JOÃO,8156,RIO BRANCO,AC,BR
2021,3,AA,ESMERALDA,CUIDADOS FACIAIS,2268.34,9523.93,29,0.238,196,7.04,28,ESPECIAL,JOÃO,8156,RIO BRANCO,AC,BR
2021,3,AA,ESMERALDA,DESODORANTES,19078.62,29185.75,897,0.654,2075,82.56,25,ESPECIAL,JOÃO,8156,RIO BRANCO,AC,BR
2021,3,AA,ESMERALDA,EMBALAGENS,,190.72,0,0.0,,,,,,8156,RIO BRANCO,AC,BR
2021,3,AA,ESMERALDA,GIFTS,1267.0,13984.82,22,0.091,586,7.54,78,ESPECIAL,JOÃO,8156,RIO BRANCO,AC,BR
2021,3,AA,ESMERALDA,HOME CARE,1856.76,56.49,52,32.866,0,0.08,0,ESPECIAL,JOÃO,8156,RIO BRANCO,AC,BR
2021,3,AA,ESMERALDA,INFANTIL,639.87,9860.71,22,0.065,471,20.87,23,ESPECIAL,JOÃO,8156,RIO BRANCO,AC,BR
2021,3,AA,ESMERALDA,MAQUIAGEM,9764.91,21593.61,303,0.452,1531,29.44,52,ESPECIAL,JOÃO,8156,RIO BRANCO,AC,BR
2021,3,AA,ESMERALDA,PERFUMARIA,32255.51,334967.57,349,0.096,8172,184.16,44,ESPECIAL,JOÃO,8156,RIO BRANCO,AC,BR
2021,3,AA,ESMERALDA,SABONETE CORPO,2173.23,6981.63,80,0.311,516,22.96,22,ESPECIAL,JOÃO,8156,RIO BRANCO,AC,BR
2021,3,AA,ESMERALDA,SOLAR,196.18,741.74,4,0.264,19,0.67,28,ESPECIAL,JOÃO,8156,RIO BRANCO,AC,BR
2021,3,AA,ESMERALDA,SUPORTE À VENDA,,8206.64,0,0.0,,,,,,8156,RIO BRANCO,AC,BR
2021,3,AA,ESMERALDA,UNHAS,525.39,1352.83,70,0.388,21,2.15,10,ESPECIAL,JOÃO,8156,RIO BRANCO,AC,BR
2021,3,AA,ESMERALDA,ÓLEOS,1695.47,4582.07,26,0.37,175,8.51,21,ESPECIAL,JOÃO,8156,RIO BRANCO,AC,BR
2021,4,AA,ESMERALDA,ACESSÓRIOS,7586.79,4936.55,216,1.537,269,11.18,24,ESPECIAL,JOÃO,12332,RIO BRANCO,AC,BR
2021,4,AA,ESMERALDA,CABELOS,13863.97,49123.94,508,0.282,1225,48.59,25,ESPECIAL,JOÃO,12332,RIO BRANCO,AC,BR
2021,4,AA,ESMERALDA,CUIDADOS COM A BARBA,829.17,1843.24,18,0.45,45,2.21,20,ESPECIAL,JOÃO,12332,RIO BRANCO,AC,BR
