ANO,MES,COD_CLIENTE,CLIENTE_DESCRICAO,MATERIAL_DESCRICAO_CATEGORIA,VALOR_RUPTURA_MONETARIO,VALOR_PEDIDO_MONETARIO,VOLUME_RUPTURA_UND,RUPTURA_PERCENTUAL,ESTOQUE,DDV,COBERTURA_DIAS,TIPO_CLIENTE,CONTATO_CLIENTE,VLR_VOLUME_REAL,CIDADE,UF,PAIS
2021,1,BB,OURO,ACESSÓRIOS,13772.79,6314.05,447,2.181,304,12.4,25,PADRÃO,PEDRO,11605,IGUAI,BA,BR
2021,1,BB,OURO,CABELOS,11856.53,36685.63,453,0.323,732,24.44,30,PADRÃO,PEDRO,11605,IGUAI,BA,BR
2021,1,BB,OURO,CUIDADOS COM A BARBA,362.4,982.32,9,0.369,54,1.69,32,PADRÃO,PEDRO,11605,IGUAI,BA,BR
2021,1,BB,OURO,CUIDADOS COM A PELE,15932.32,80803.68,400,0.197,2870,64.32,45,PADRÃO,PEDRO,11605,IGUAI,BA,BR
2021,1,BB,OURO,CUIDADOS FACIAIS,2244.04,12311.35,22,0.182,228,4.88,47,PADRÃO,PEDRO,11605,IGUAI,BA,BR
2021,1,BB,OURO,DESODORANTES,11668.27,39315.66,585,0.297,1429,49.62,29,PADRÃO,PEDRO,11605,IGUAI,BA,BR
2021,1,BB,OURO,EMBALAGENS,,40.39,0,0.0,,,,,,11605,IGUAI,BA,BR
2021,1,BB,OURO,GIFTS,5942.59,11268.03,69,0.527,165,9.06,18,PADRÃO,PEDRO,11605,IGUAI,BA,BR
2021,1,BB,OURO,HOME CARE,22.84,,0,,24,1.2,20,PADRÃO,PEDRO,11605,IGUAI,BA,BR
2021,1,BB,OURO,INFANTIL,3256.55,15046.89,121,0.216,466,8.46,55,PADRÃO,PEDRO,11605,IGUAI,BA,BR
2021,1,BB,OURO,MAQUIAGEM,6012.89,26960.32,281,0.223,1230,41.47,30,PADRÃO,PEDRO,11605,IGUAI,BA,BR
2021,1,BB,OURO,PERFUMARIA,3316.66,416555.85,52,0.008,7974,139.89,57,PADRÃO,PEDRO,11605,IGUAI,BA,BR
2021,1,BB,OURO,SABONETE CORPO,1689.55,10455.31,75,0.162,726,28.07,26,PADRÃO,PEDRO,11605,IGUAI,BA,BR
2021,1,BB,OURO,SOLAR,185.74,731.26,4,0.254,18,0.68,27,PADRÃO,PEDRO,11605,IGUAI,BA,BR
2021,1,BB,OURO,SUPORTE À VENDA,,9057.7,0,0.0,,,,,,11605,IGUAI,BA,BR
2021,1,BB,OURO,UNHAS,810.4,478.41,96,1.694,14,2.44,6,PADRÃO,PEDRO,11605,IGUAI,BA,BR
2021,1,BB,OURO,ÓLEOS,3314.32,4299.36,58,0.771,84,3.82,22,PADRÃO,PEDRO,11605,IGUAI,BA,BR
2021,2,BB,OURO,ACESSÓRIOS,4272.54,4568.81,116,0.935,358,5.81,62,PADRÃO,PEDRO,8753,IGUAI,BA,BR
