ANO,MES,COD_CLIENTE,CLIENTE_DESCRICAO,MATERIAL_DESCRICAO_CATEGORIA,VALOR_RUPTURA_MONETARIO,VALOR_PEDIDO_MONETARIO,VOLUME_RUPTURA_UND,RUPTURA_PERCENTUAL,ESTOQUE,DDV,COBERTURA_DIAS,TIPO_CLIENTE,CONTATO_CLIENTE,VLR_VOLUME_REAL,CIDADE,UF,PAIS
2021,1,CC,DIAMANTE,ACESSÓRIOS,8518.84,5510.53,277,1.546,279,9.98,28,ESPECIAL,MARIA,11090,ILHEUS,BA,BR
2021,1,CC,DIAMANTE,CABELOS,7199.73,32624.78,282,0.221,634,24.09,26,ESPECIAL,MARIA,11090,ILHEUS,BA,BR
2021,1,CC,DIAMANTE,CUIDADOS COM A BARBA,108.87,762.36,2,0.143,55,1.57,35,ESPECIAL,MARIA,11090,ILHEUS,BA,BR
2021,1,CC,DIAMANTE,CUIDADOS COM A PELE,9872.15,107856.37,237,0.092,3631,72.41,50,ESPECIAL,MARIA,11090,ILHEUS,BA,BR
2021,1,CC,DIAMANTE,CUIDADOS FACIAIS,2638.52,8129.69,24,0.325,261,4.75,55,ESPECIAL,MARIA,11090,ILHEUS,BA,BR
2021,1,CC,DIAMANTE,DESODORANTES,8358.91,36226.7,426,0.231,1090,43.63,25,ESPECIAL,MARIA,11090,ILHEUS,BA,BR
2021,1,CC,DIAMANTE,EMBALAGENS,,94.57,0,0.0,,,,nan,,11090,ILHEUS,BA,BR
2021,1,CC,DIAMANTE,GIFTS,2860.82,8812.98,39,0.325,124,6.37,19,ESPECIAL,MARIA,11090,ILHEUS,BA,BR
2021,1,CC,DIAMANTE,HOME CARE,22.84,,0,,19,1.13,17,ESPECIAL,MARIA,11090,ILHEUS,BA,BR
2021,1,CC,DIAMANTE,INFANTIL,2012.37,15185.1,82,0.133,398,8.21,48,ESPECIAL,MARIA,11090,ILHEUS,BA,BR
2021,1,CC,DIAMANTE,MAQUIAGEM,4267.81,23790.4,232,0.179,1061,43.88,24,ESPECIAL,MARIA,11090,ILHEUS,BA,BR
2021,1,CC,DIAMANTE,PERFUMARIA,3970.05,401714.46,57,0.01,6926,121.43,57,ESPECIAL,MARIA,11090,ILHEUS,BA,BR
2021,1,CC,DIAMANTE,SABONETE CORPO,1508.8,8131.81,58,0.186,631,24.19,26,ESPECIAL,MARIA,11090,ILHEUS,BA,BR
2021,1,CC,DIAMANTE,SOLAR,66.01,580.02,1,0.114,20,0.78,25,ESPECIAL,MARIA,11090,ILHEUS,BA,BR
2021,1,CC,DIAMANTE,SUPORTE À VENDA,,4062.74,0,0.0,,,,nan,,11090,ILHEUS,BA,BR
2021,1,CC,DIAMANTE,UNHAS,489.18,466.07,64,1.05,17,2.8,6,ESPECIAL,MARIA,11090,ILHEUS,BA,BR
2021,1,CC,DIAMANTE,ÓLEOS,1632.71,4847.39,28,0.337,137,3.72,37,ESPECIAL,MARIA,11090,ILHEUS,BA,BR
2021,2,CC,DIAMANTE,ACESSÓRIOS,3185.43,3254.19,80,0.979,266,5.22,51,ESPECIAL,MARIA,7338,ILHEUS,BA,BR
2021,2,CC,DIAMANTE,CABELOS,4578.72,14538.65,147,0.315,794,35.39,22,ESPECIAL,MARIA,7338,ILHEUS,BA,BR
2021,2,CC,DIAMANTE,CUIDADOS COM A BARBA,59.84,1499.42,2,0.04,34,0.83,41,ESPECIAL,MARIA,7338,ILHEUS,BA,BR
2021,2,CC,DIAMANTE,CUIDADOS COM A PELE,7439.05,60078.72,181,0.124,2788,43.84,64,ESPECIAL,MARIA,7338,ILHEUS,BA,BR
2021,2,CC,DIAMANTE,CUIDADOS FACIAIS,934.83,7675.83,13,0.122,257,4.84,53,ESPECIAL,MARIA,7338,ILHEUS,BA,BR
2021,2,CC,DIAMANTE,DESODORANTES,3492.64,23823.14,140,0.147,992,35.12,28,ESPECIAL,MARIA,7338,ILHEUS,BA,BR
2021,2,CC,DIAMANTE,EMBALAGENS,,69.56,0,0.0,,,,nan,,7338,ILHEUS,BA,BR
2021,2,CC,DIAMANTE,GIFTS,873.71,7416.09,17,0.118,317,9.08,35,ESPECIAL,MARIA,7338,ILHEUS,BA,BR
2021,2,CC,DIAMANTE,HOME CARE,1533.25,495.92,57,3.092,,,,nan,,7338,ILHEUS,BA,BR
