ANO,MES,COD_CLIENTE,CLIENTE_DESCRICAO,MATERIAL_DESCRICAO_CATEGORIA,VALOR_RUPTURA_MONETARIO,VALOR_PEDIDO_MONETARIO,VOLUME_RUPTURA_UND,RUPTURA_PERCENTUAL,ESTOQUE,DDV,COBERTURA_DIAS,TIPO_CLIENTE,CONTATO_CLIENTE,VLR_VOLUME_REAL,CIDADE,UF,PAIS
2021,1,DD,RUBI,ACESSÓRIOS,33001.27,12092.8,976,2.729,609,18.58,33,PADRÃO,RICARDO,29824,OIAPOQUE,AP,BR
2021,1,DD,RUBI,CABELOS,25764.62,87774.92,1019,0.294,1558,49.97,31,PADRÃO,RICARDO,29824,OIAPOQUE,AP,BR
2021,1,DD,RUBI,CUIDADOS COM A BARBA,647.2,2528.5,17,0.256,120,2.86,42,PADRÃO,RICARDO,29824,OIAPOQUE,AP,BR
2021,1,DD,RUBI,CUIDADOS COM A PELE,32561.9,241230.21,727,0.135,9485,156.27,61,PADRÃO,RICARDO,29824,OIAPOQUE,AP,BR
2021,1,DD,RUBI,CUIDADOS FACIAIS,7265.18,26295.45,72,0.276,667,9.71,69,PADRÃO,RICARDO,29824,OIAPOQUE,AP,BR
2021,1,DD,RUBI,DESODORANTES,29267.48,65528.57,1472,0.447,2806,67.88,41,PADRÃO,RICARDO,29824,OIAPOQUE,AP,BR
2021,1,DD,RUBI,EMBALAGENS,,934.25,0,0.0,,,,,,29824,OIAPOQUE,AP,BR
2021,1,DD,RUBI,GIFTS,16628.98,27312.49,200,0.609,331,14.8,22,PADRÃO,RICARDO,29824,OIAPOQUE,AP,BR
2021,1,DD,RUBI,HOME CARE,59.96,,1,,78,2.95,26,PADRÃO,RICARDO,29824,OIAPOQUE,AP,BR
2021,1,DD,RUBI,INFANTIL,6394.76,58379.45,236,0.11,1219,24.01,51,PADRÃO,RICARDO,29824,OIAPOQUE,AP,BR
2021,1,DD,RUBI,MAQUIAGEM,15574.4,67050.73,808,0.232,2786,93.6,30,PADRÃO,RICARDO,29824,OIAPOQUE,AP,BR
2021,1,DD,RUBI,PERFUMARIA,14299.19,1329083.12,191,0.011,17044,349.58,49,PADRÃO,RICARDO,29824,OIAPOQUE,AP,BR
2021,1,DD,RUBI,SABONETE CORPO,2446.28,16678.74,101,0.147,1142,48.21,24,PADRÃO,RICARDO,29824,OIAPOQUE,AP,BR
2021,1,DD,RUBI,SOLAR,182.01,1646.2,4,0.111,71,1.89,38,PADRÃO,RICARDO,29824,OIAPOQUE,AP,BR
2021,1,DD,RUBI,SUPORTE À VENDA,,17353.47,0,0.0,,,,,,29824,OIAPOQUE,AP,BR
2021,1,DD,RUBI,UNHAS,1221.75,1493.84,147,0.818,66,4.43,15,PADRÃO,RICARDO,29824,OIAPOQUE,AP,BR
2021,1,DD,RUBI,ÓLEOS,7046.33,16353.31,131,0.431,386,10.23,38,PADRÃO,RICARDO,29824,OIAPOQUE,AP,BR
2021,2,DD,RUBI,ACESSÓRIOS,9776.73,7628.91,214,1.282,522,10.56,49,PADRÃO,RICARDO,14515,OIAPOQUE,AP,BR
2021,2,DD,RUBI,CABELOS,10717.96,28311.26,349,0.379,1647,80.12,21,PADRÃO,RICARDO,14515,OIAPOQUE,AP,BR
2021,2,DD,RUBI,CUIDADOS COM A BARBA,345.43,3192.52,8,0.108,97,1.62,60,PADRÃO,RICARDO,14515,OIAPOQUE,AP,BR
2021,2,DD,RUBI,CUIDADOS COM A PELE,24929.91,110758.71,644,0.225,6092,133.5,46,PADRÃO,RICARDO,14515,OIAPOQUE,AP,BR
2021,2,DD,RUBI,CUIDADOS FACIAIS,399.0,16733.14,5,0.024,553,10.93,51,PADRÃO,RICARDO,14515,OIAPOQUE,AP,BR
2021,2,DD,RUBI,DESODORANTES,6323.25,30710.25,243,0.206,2599,65.33,40,PADRÃO,RICARDO,14515,OIAPOQUE,AP,BR
2021,2,DD,RUBI,EMBALAGENS,,527.31,0,0.0,,,,,,14515,OIAPOQUE,AP,BR
2021,2,DD,RUBI,GIFTS,1582.04,22303.23,36,0.071,714,24.82,29,PADRÃO,RICARDO,14515,OIAPOQUE,AP,BR
2021,2,DD,RUBI,HOME CARE,2593.9,2005.23,97,1.294,,,,,,14515,OIAPOQUE,AP,BR
2021,2,DD,RUBI,INFANTIL,1886.75,15656.61,60,0.121,955,43.84,22,PADRÃO,RICARDO,14515,OIAPOQUE,AP,BR
2021,2,DD,RUBI,MAQUIAGEM,6319.93,43694.28,250,0.145,2974,65.75,45,PADRÃO,RICARDO,14515,OIAPOQUE,AP,BR
2021,2,DD,RUBI,PERFUMARIA,35595.38,660728.05,453,0.054,18975,301.04,63,PADRÃO,RICARDO,14515,OIAPOQUE,AP,BR
2021,2,DD,RUBI,SABONETE CORPO,2188.1,21780.53,95,0.1,725,25.83,28,PADRÃO,RICARDO,14515,OIAPOQUE,AP,BR
2021,2,DD,RUBI,SOLAR,48.35,1885.17,1,0.026,53,1.4,38,PADRÃO,RICARDO,14515,OIAPOQUE,AP,BR
