ANO,MES,COD_CLIENTE,CLIENTE_DESCRICAO,MATERIAL_DESCRICAO_CATEGORIA,VALOR_RUPTURA_MONETARIO,VALOR_PEDIDO_MONETARIO,VOLUME_RUPTURA_UND,RUPTURA_PERCENTUAL,ESTOQUE,DDV,COBERTURA_DIAS,TIPO_CLIENTE,CONTATO_CLIENTE,VLR_VOLUME_REAL,CIDADE,UF,PAIS
2021,1,EE,DIAMANTE,ACESSÓRIOS,1952.99,1552.2,67,1.258,,,,nan,,2465,RIO CLARO,SP,BR
2021,1,EE,DIAMANTE,CABELOS,2011.15,7625.2,79,0.264,,,,nan,,2465,RIO CLARO,SP,BR
2021,1,EE,DIAMANTE,CUIDADOS COM A BARBA,91.56,179.57,2,0.51,,,,nan,,2465,RIO CLARO,SP,BR
2021,1,EE,DIAMANTE,CUIDADOS COM A PELE,2973.63,21273.55,72,0.14,,,,nan,,2465,RIO CLARO,SP,BR
2021,1,EE,DIAMANTE,CUIDADOS FACIAIS,199.31,2352.4,2,0.085,,,,nan,,2465,RIO CLARO,SP,BR
2021,1,EE,DIAMANTE,DESODORANTES,2764.64,8923.59,138,0.31,,,,nan,,2465,RIO CLARO,SP,BR
2021,1,EE,DIAMANTE,EMBALAGENS,,17.61,0,0.0,,,,nan,,2465,RIO CLARO,SP,BR
2021,1,EE,DIAMANTE,GIFTS,886.11,1895.28,14,0.468,,,,nan,,2465,RIO CLARO,SP,BR
2021,1,EE,DIAMANTE,HOME CARE,22.84,,0,,,,,nan,,2465,RIO CLARO,SP,BR
2021,1,EE,DIAMANTE,INFANTIL,300.44,2797.97,12,0.107,,,,nan,,2465,RIO CLARO,SP,BR
2021,1,EE,DIAMANTE,MAQUIAGEM,1408.1,5436.52,49,0.259,,,,nan,,2465,RIO CLARO,SP,BR
2021,1,EE,DIAMANTE,PERFUMARIA,4408.21,87949.03,49,0.05,,,,nan,,2465,RIO CLARO,SP,BR
2021,1,EE,DIAMANTE,SABONETE CORPO,488.8,1732.61,21,0.282,,,,nan,,2465,RIO CLARO,SP,BR
2021,1,EE,DIAMANTE,SOLAR,,154.23,0,0.0,,,,nan,,2465,RIO CLARO,SP,BR
2021,1,EE,DIAMANTE,SUPORTE À VENDA,,539.32,0,0.0,,,,nan,,2465,RIO CLARO,SP,BR
2021,1,EE,DIAMANTE,UNHAS,55.02,145.89,6,0.377,,,,nan,,2465,RIO CLARO,SP,BR
2021,1,EE,DIAMANTE,ÓLEOS,58.6,1345.73,1,0.044,,,,nan,,2465,RIO CLARO,SP,BR
2021,2,EE,DIAMANTE,ACESSÓRIOS,562.57,930.8,17,0.604,104,1.27,82,ESPECIAL,MARIA,1524,RIO CLARO,SP,BR
2021,2,EE,DIAMANTE,CABELOS,1089.99,2426.83,36,0.449,262,7.9,33,ESPECIAL,MARIA,1524,RIO CLARO,SP,BR
2021,2,EE,DIAMANTE,CUIDADOS COM A BARBA,39.07,280.28,1,0.139,27,0.17,158,ESPECIAL,MARIA,1524,RIO CLARO,SP,BR
2021,2,EE,DIAMANTE,CUIDADOS COM A PELE,2291.35,12351.29,61,0.186,637,8.96,71,ESPECIAL,MARIA,1524,RIO CLARO,SP,BR
2021,2,EE,DIAMANTE,CUIDADOS FACIAIS,94.9,1076.91,3,0.088,62,1.14,54,ESPECIAL,MARIA,1524,RIO CLARO,SP,BR
2021,2,EE,DIAMANTE,DESODORANTES,2115.87,6046.35,95,0.35,488,9.71,50,ESPECIAL,MARIA,1524,RIO CLARO,SP,BR
2021,2,EE,DIAMANTE,EMBALAGENS,,3.01,0,0.0,,,,nan,,1524,RIO CLARO,SP,BR
2021,2,EE,DIAMANTE,GIFTS,162.24,1711.71,3,0.095,88,1.13,78,ESPECIAL,MARIA,1524,RIO CLARO,SP,BR
2021,2,EE,DIAMANTE,HOME CARE,470.44,70.57,18,6.667,,,,nan,,1524,RIO CLARO,SP,BR
2021,2,EE,DIAMANTE,INFANTIL,140.01,1055.78,5,0.133,167,3.59,47,ESPECIAL,MARIA,1524,RIO CLARO,SP,BR
2021,2,EE,DIAMANTE,MAQUIAGEM,932.89,3840.04,28,0.243,450,6.7,67,ESPECIAL,MARIA,1524,RIO CLARO,SP,BR
2021,2,EE,DIAMANTE,PERFUMARIA,7169.17,54032.19,88,0.133,1270,21.72,58,ESPECIAL,MARIA,1524,RIO CLARO,SP,BR
2021,2,EE,DIAMANTE,SABONETE CORPO,379.53,2527.57,17,0.15,160,3.19,50,ESPECIAL,MARIA,1524,RIO CLARO,SP,BR
2021,2,EE,DIAMANTE,SOLAR,,105.12,0,0.0,13,0.07,184,ESPECIAL,MARIA,1524,RIO CLARO,SP,BR
2021,2,EE,DIAMANTE,SUPORTE À VENDA,,831.83,0,0.0,,,,nan,,1524,RIO CLARO,SP,BR
2021,2,EE,DIAMANTE,UNHAS,9.54,74.57,1,0.128,49,0.68,72,ESPECIAL,MARIA,1524,RIO CLARO,SP,BR
2021,2,EE,DIAMANTE,ÓLEOS,54.39,686.99,1,0.079,68,0.6,114,ESPECIAL,MARIA,1524,RIO CLARO,SP,BR
2021,3,EE,DIAMANTE,ACESSÓRIOS,601.37,807.96,22,0.744,90,1.46,62,ESPECIAL,MARIA,1150,RIO CLARO,SP,BR
2021,3,EE,DIAMANTE,CABELOS,835.87,2557.9,25,0.327,297,8.87,33,ESPECIAL,MARIA,1150,RIO CLARO,SP,BR
2021,3,EE,DIAMANTE,CUIDADOS COM A BARBA,,209.6,0,0.0,24,0.29,84,ESPECIAL,MARIA,1150,RIO CLARO,SP,BR
2021,3,EE,DIAMANTE,CUIDADOS COM A PELE,1051.32,7450.94,23,0.141,772,13.64,57,ESPECIAL,MARIA,1150,RIO CLARO,SP,BR
2021,3,EE,DIAMANTE,CUIDADOS FACIAIS,45.18,1171.87,1,0.039,66,1.43,46,ESPECIAL,MARIA,1150,RIO CLARO,SP,BR
2021,3,EE,DIAMANTE,DESODORANTES,1382.74,4751.38,64,0.291,558,10.03,56,ESPECIAL,MARIA,1150,RIO CLARO,SP,BR
2021,3,EE,DIAMANTE,GIFTS,44.39,1934.09,1,0.023,85,1.25,68,ESPECIAL,MARIA,1150,RIO CLARO,SP,BR
2021,3,EE,DIAMANTE,HOME CARE,159.6,,5,,0,0.03,0,ESPECIAL,MARIA,1150,RIO CLARO,SP,BR
