ANO,MES,COD_CLIENTE,CLIENTE_DESCRICAO,MATERIAL_DESCRICAO_CATEGORIA,VALOR_RUPTURA_MONETARIO,VALOR_PEDIDO_MONETARIO,VOLUME_RUPTURA_UND,RUPTURA_PERCENTUAL,ESTOQUE,DDV,COBERTURA_DIAS,TIPO_CLIENTE,CONTATO_CLIENTE,VLR_VOLUME_REAL,CIDADE,UF,PAIS
2021,1,FF,SAFIRA,ACESSÓRIOS,4438.58,1735.95,149,2.557,,,,,,6898,SAO PAULO,SP,BR
2021,1,FF,SAFIRA,CABELOS,2374.27,17817.31,101,0.133,,,,,,6898,SAO PAULO,SP,BR
2021,1,FF,SAFIRA,CUIDADOS COM A BARBA,39.34,352.51,1,0.112,,,,,,6898,SAO PAULO,SP,BR
2021,1,FF,SAFIRA,CUIDADOS COM A PELE,7149.04,62225.54,151,0.115,,,,,,6898,SAO PAULO,SP,BR
2021,1,FF,SAFIRA,CUIDADOS FACIAIS,560.46,5971.74,6,0.094,,,,,,6898,SAO PAULO,SP,BR
2021,1,FF,SAFIRA,DESODORANTES,2697.87,19778.74,137,0.136,,,,,,6898,SAO PAULO,SP,BR
2021,1,FF,SAFIRA,EMBALAGENS,,660.72,0,0.0,,,,,,6898,SAO PAULO,SP,BR
2021,1,FF,SAFIRA,GIFTS,2809.03,5033.68,33,0.558,,,,,,6898,SAO PAULO,SP,BR
2021,1,FF,SAFIRA,INFANTIL,976.75,8627.5,40,0.113,,,,,,6898,SAO PAULO,SP,BR
2021,1,FF,SAFIRA,MAQUIAGEM,6711.4,8130.12,192,0.825,,,,,,6898,SAO PAULO,SP,BR
2021,1,FF,SAFIRA,PERFUMARIA,2287.87,286088.33,35,0.008,,,,,,6898,SAO PAULO,SP,BR
2021,1,FF,SAFIRA,SABONETE CORPO,444.09,4772.18,17,0.093,,,,,,6898,SAO PAULO,SP,BR
2021,1,FF,SAFIRA,SOLAR,13.82,437.23,0,0.032,,,,,,6898,SAO PAULO,SP,BR
2021,1,FF,SAFIRA,SUPORTE À VENDA,,2620.64,0,0.0,,,,,,6898,SAO PAULO,SP,BR
2021,1,FF,SAFIRA,UNHAS,207.94,264.36,24,0.787,,,,,,6898,SAO PAULO,SP,BR
2021,1,FF,SAFIRA,ÓLEOS,386.28,4202.11,5,0.092,,,,,,6898,SAO PAULO,SP,BR
2021,2,FF,SAFIRA,ACESSÓRIOS,2079.88,923.57,50,2.252,106,1.36,78,PADRÃO,MATHEUS,3577,SAO PAULO,SP,BR
2021,2,FF,SAFIRA,CABELOS,1728.55,5568.53,57,0.31,752,7.32,103,PADRÃO,MATHEUS,3577,SAO PAULO,SP,BR
2021,2,FF,SAFIRA,CUIDADOS COM A BARBA,110.74,480.5,4,0.23,74,0.19,387,PADRÃO,MATHEUS,3577,SAO PAULO,SP,BR
2021,2,FF,SAFIRA,CUIDADOS COM A PELE,6718.5,28838.57,181,0.233,1636,10.83,151,PADRÃO,MATHEUS,3577,SAO PAULO,SP,BR
2021,2,FF,SAFIRA,CUIDADOS FACIAIS,556.27,2750.03,6,0.202,205,0.99,208,PADRÃO,MATHEUS,3577,SAO PAULO,SP,BR
2021,2,FF,SAFIRA,DESODORANTES,1016.17,10572.74,44,0.096,1537,8.18,188,PADRÃO,MATHEUS,3577,SAO PAULO,SP,BR
2021,2,FF,SAFIRA,EMBALAGENS,,389.47,0,0.0,,,,,,3577,SAO PAULO,SP,BR
2021,2,FF,SAFIRA,GIFTS,1358.21,4249.18,14,0.32,152,1.31,116,PADRÃO,MATHEUS,3577,SAO PAULO,SP,BR
2021,2,FF,SAFIRA,HOME CARE,635.09,133.29,24,4.765,,,,,,3577,SAO PAULO,SP,BR
2021,2,FF,SAFIRA,INFANTIL,216.91,3052.71,8,0.071,272,2.55,107,PADRÃO,MATHEUS,3577,SAO PAULO,SP,BR
2021,2,FF,SAFIRA,MAQUIAGEM,3680.04,4963.72,86,0.741,725,6.12,118,PADRÃO,MATHEUS,3577,SAO PAULO,SP,BR
2021,2,FF,SAFIRA,PERFUMARIA,2388.96,159789.92,30,0.015,7320,33.28,220,PADRÃO,MATHEUS,3577,SAO PAULO,SP,BR
2021,2,FF,SAFIRA,SABONETE CORPO,683.88,4325.88,32,0.158,422,3.8,111,PADRÃO,MATHEUS,3577,SAO PAULO,SP,BR
2021,2,FF,SAFIRA,SOLAR,48.49,451.34,1,0.107,20,0.11,177,PADRÃO,MATHEUS,3577,SAO PAULO,SP,BR
2021,2,FF,SAFIRA,SUPORTE À VENDA,,2086.99,0,0.0,,,,,,3577,SAO PAULO,SP,BR
2021,2,FF,SAFIRA,UNHAS,120.63,41.14,12,2.932,29,0.68,43,PADRÃO,MATHEUS,3577,SAO PAULO,SP,BR
2021,2,FF,SAFIRA,ÓLEOS,286.48,1451.28,5,0.197,128,0.49,261,PADRÃO,MATHEUS,3577,SAO PAULO,SP,BR
2021,3,FF,SAFIRA,ACESSÓRIOS,1524.49,771.9,40,1.975,85,3.06,28,PADRÃO,MATHEUS,2331,SAO PAULO,SP,BR
2021,3,FF,SAFIRA,CABELOS,1159.31,5140.38,36,0.226,773,17.39,44,PADRÃO,MATHEUS,2331,SAO PAULO,SP,BR
2021,3,FF,SAFIRA,CUIDADOS COM A BARBA,15.62,313.02,0,0.05,72,0.53,137,PADRÃO,MATHEUS,2331,SAO PAULO,SP,BR
2021,3,FF,SAFIRA,CUIDADOS COM A PELE,1977.69,14790.0,47,0.134,1605,25.35,63,PADRÃO,MATHEUS,2331,SAO PAULO,SP,BR
2021,3,FF,SAFIRA,CUIDADOS FACIAIS,345.38,2503.52,5,0.138,185,2.25,82,PADRÃO,MATHEUS,2331,SAO PAULO,SP,BR
2021,3,FF,SAFIRA,DESODORANTES,2511.89,7427.86,120,0.338,1430,17.69,81,PADRÃO,MATHEUS,2331,SAO PAULO,SP,BR
2021,3,FF,SAFIRA,EMBALAGENS,,306.88,0,0.0,,,,,,2331,SAO PAULO,SP,BR
2021,3,FF,SAFIRA,GIFTS,947.31,3619.95,14,0.262,114,2.83,40,PADRÃO,MATHEUS,2331,SAO PAULO,SP,BR
2021,3,FF,SAFIRA,HOME CARE,333.19,,9,,0,0.02,0,PADRÃO,MATHEUS,2331,SAO PAULO,SP,BR
2021,3,FF,SAFIRA,INFANTIL,261.25,2443.59,9,0.107,233,6.77,34,PADRÃO,MATHEUS,2331,SAO PAULO,SP,BR
2021,3,FF,SAFIRA,MAQUIAGEM,2668.59,5027.32,55,0.531,610,6.74,90,PADRÃO,MATHEUS,2331,SAO PAULO,SP,BR
2021,3,FF,SAFIRA,PERFUMARIA,5539.92,110291.6,59,0.05,6898,73.54,94,PADRÃO,MATHEUS,2331,SAO PAULO,SP,BR
2021,3,FF,SAFIRA,SABONETE CORPO,759.9,1915.74,37,0.397,375,7.44,50,PADRÃO,MATHEUS,2331,SAO PAULO,SP,BR
2021,3,FF,SAFIRA,SOLAR,,230.43,0,0.0,15,0.27,56,PADRÃO,MATHEUS,2331,SAO PAULO,SP,BR
2021,3,FF,SAFIRA,SUPORTE À VENDA,,2502.69,0,0.0,,,,,,2331,SAO PAULO,SP,BR
2021,3,FF,SAFIRA,UNHAS,166.0,66.1,21,2.511,20,0.54,37,PADRÃO,MATHEUS,2331,SAO PAULO,SP,BR
2021,3,FF,SAFIRA,ÓLEOS,253.94,1286.31,4,0.197,118,2.56,46,PADRÃO,MATHEUS,2331,SAO PAULO,SP,BR
2021,4,FF,SAFIRA,ACESSÓRIOS,3752.64,954.72,96,3.931,79,3.42,23,PADRÃO,MATHEUS,3906,SAO PAULO,SP,BR
2021,4,FF,SAFIRA,CABELOS,4014.43,10910.33,151,0.368,555,10.41,53,PADRÃO,MATHEUS,3906,SAO PAULO,SP,BR
2021,4,FF,SAFIRA,CUIDADOS COM A BARBA,36.63,388.06,1,0.094,65,0.47,138,PADRÃO,MATHEUS,3906,SAO PAULO,SP,BR
2021,4,FF,SAFIRA,CUIDADOS COM A PELE,6235.8,26207.13,166,0.238,1471,31.41,47,PADRÃO,MATHEUS,3906,SAO PAULO,SP,BR
2021,4,FF,SAFIRA,CUIDADOS FACIAIS,1279.96,3277.27,19,0.391,144,1.63,88,PADRÃO,MATHEUS,3906,SAO PAULO,SP,BR
2021,4,FF,SAFIRA,DESODORANTES,2813.85,9994.65,136,0.282,1290,16.14,80,PADRÃO,MATHEUS,3906,SAO PAULO,SP,BR
2021,4,FF,SAFIRA,EMBALAGENS,,429.52,0,0.0,,,,,,3906,SAO PAULO,SP,BR
2021,4,FF,SAFIRA,GIFTS,1947.9,2805.02,30,0.694,96,4.06,24,PADRÃO,MATHEUS,3906,SAO PAULO,SP,BR
2021,4,FF,SAFIRA,HOME CARE,499.78,,14,,2,0.01,152,PADRÃO,MATHEUS,3906,SAO PAULO,SP,BR
2021,4,FF,SAFIRA,INFANTIL,2060.5,5986.58,66,0.344,159,8.48,19,PADRÃO,MATHEUS,3906,SAO PAULO,SP,BR
2021,4,FF,SAFIRA,MAQUIAGEM,7006.67,4845.15,123,1.446,527,5.45,97,PADRÃO,MATHEUS,3906,SAO PAULO,SP,BR
2021,4,FF,SAFIRA,PERFUMARIA,3342.55,145775.87,36,0.023,6537,72.12,91,PADRÃO,MATHEUS,3906,SAO PAULO,SP,BR
2021,4,FF,SAFIRA,SABONETE CORPO,892.98,2505.77,39,0.356,383,7.28,53,PADRÃO,MATHEUS,3906,SAO PAULO,SP,BR
2021,4,FF,SAFIRA,SOLAR,91.62,184.77,2,0.496,11,0.18,61,PADRÃO,MATHEUS,3906,SAO PAULO,SP,BR
2021,4,FF,SAFIRA,SUPORTE À VENDA,,4496.35,0,0.0,,,,,,3906,SAO PAULO,SP,BR
2021,4,FF,SAFIRA,UNHAS,161.53,205.9,14,0.785,20,0.86,23,PADRÃO,MATHEUS,3906,SAO PAULO,SP,BR
2021,4,FF,SAFIRA,ÓLEOS,535.06,1620.44,9,0.33,95,2.36,40,PADRÃO,MATHEUS,3906,SAO PAULO,SP,BR
2021,5,FF,SAFIRA,ACESSÓRIOS,1620.4,567.39,47,2.856,54,2.55,21,PADRÃO,MATHEUS,3520,SAO PAULO,SP,BR
