ANO,MES,COD_CLIENTE,CLIENTE_DESCRICAO,MATERIAL_DESCRICAO_CATEGORIA,VALOR_RUPTURA_MONETARIO,VALOR_PEDIDO_MONETARIO,VOLUME_RUPTURA_UND,RUPTURA_PERCENTUAL,ESTOQUE,DDV,COBERTURA_DIAS,TIPO_CLIENTE,CONTATO_CLIENTE,VLR_VOLUME_REAL,CIDADE,UF,PAIS
2021,1,HH,DIAMANTE,ACESSÓRIOS,2988.4,1764.09,90,1.694,,,,,,4090,SOROCABA,SP,BR
2021,1,HH,DIAMANTE,CABELOS,3001.97,10920.97,120,0.275,,,,,,4090,SOROCABA,SP,BR
2021,1,HH,DIAMANTE,CUIDADOS COM A BARBA,36.33,401.12,1,0.091,,,,,,4090,SOROCABA,SP,BR
2021,1,HH,DIAMANTE,CUIDADOS COM A PELE,6696.16,48830.34,132,0.137,,,,,,4090,SOROCABA,SP,BR
2021,1,HH,DIAMANTE,CUIDADOS FACIAIS,342.73,3297.96,4,0.104,,,,,,4090,SOROCABA,SP,BR
2021,1,HH,DIAMANTE,DESODORANTES,7063.65,12782.89,361,0.553,,,,,,4090,SOROCABA,SP,BR
2021,1,HH,DIAMANTE,EMBALAGENS,,13.39,0,0.0,,,,,,4090,SOROCABA,SP,BR
2021,1,HH,DIAMANTE,GIFTS,1057.28,2133.79,12,0.495,,,,,,4090,SOROCABA,SP,BR
2021,1,HH,DIAMANTE,INFANTIL,902.82,6291.51,30,0.143,,,,,,4090,SOROCABA,SP,BR
2021,1,HH,DIAMANTE,MAQUIAGEM,1658.57,7302.49,88,0.227,,,,,,4090,SOROCABA,SP,BR
2021,1,HH,DIAMANTE,PERFUMARIA,5954.5,148534.69,68,0.04,,,,,,4090,SOROCABA,SP,BR
2021,1,HH,DIAMANTE,SABONETE CORPO,468.72,2836.04,25,0.165,,,,,,4090,SOROCABA,SP,BR
2021,1,HH,DIAMANTE,SOLAR,,277.72,0,0.0,,,,,,4090,SOROCABA,SP,BR
2021,1,HH,DIAMANTE,SUPORTE À VENDA,,1097.19,0,0.0,,,,,,4090,SOROCABA,SP,BR
2021,1,HH,DIAMANTE,UNHAS,54.72,258.85,6,0.211,,,,,,4090,SOROCABA,SP,BR
2021,1,HH,DIAMANTE,ÓLEOS,212.13,1963.13,4,0.108,,,,,,4090,SOROCABA,SP,BR
2021,2,HH,DIAMANTE,ACESSÓRIOS,808.24,1032.3,20,0.783,119,1.74,69,ESPECIAL,MARIA,2143,SOROCABA,SP,BR
2021,2,HH,DIAMANTE,CABELOS,1089.04,4045.65,37,0.269,386,10.76,36,ESPECIAL,MARIA,2143,SOROCABA,SP,BR
2021,2,HH,DIAMANTE,CUIDADOS COM A BARBA,110.96,702.88,3,0.158,14,0.29,49,ESPECIAL,MARIA,2143,SOROCABA,SP,BR
2021,2,HH,DIAMANTE,CUIDADOS COM A PELE,4581.01,18163.42,106,0.252,885,14.73,60,ESPECIAL,MARIA,2143,SOROCABA,SP,BR
2021,2,HH,DIAMANTE,CUIDADOS FACIAIS,27.8,2492.21,1,0.011,77,1.7,45,ESPECIAL,MARIA,2143,SOROCABA,SP,BR
2021,2,HH,DIAMANTE,DESODORANTES,2097.04,8625.8,91,0.243,745,11.82,63,ESPECIAL,MARIA,2143,SOROCABA,SP,BR
2021,2,HH,DIAMANTE,EMBALAGENS,,5.36,0,0.0,,,,,,2143,SOROCABA,SP,BR
2021,2,HH,DIAMANTE,GIFTS,189.53,2337.96,4,0.081,98,1.58,62,ESPECIAL,MARIA,2143,SOROCABA,SP,BR
2021,2,HH,DIAMANTE,HOME CARE,580.2,125.45,22,4.625,,,,,,2143,SOROCABA,SP,BR
2021,2,HH,DIAMANTE,INFANTIL,300.47,1553.51,8,0.193,176,5.39,33,ESPECIAL,MARIA,2143,SOROCABA,SP,BR
2021,2,HH,DIAMANTE,MAQUIAGEM,1033.27,4735.01,35,0.218,535,9.93,54,ESPECIAL,MARIA,2143,SOROCABA,SP,BR
2021,2,HH,DIAMANTE,PERFUMARIA,8630.21,70806.4,101,0.122,1600,31.79,50,ESPECIAL,MARIA,2143,SOROCABA,SP,BR
2021,2,HH,DIAMANTE,SABONETE CORPO,197.41,3469.48,8,0.057,214,5.08,42,ESPECIAL,MARIA,2143,SOROCABA,SP,BR
2021,2,HH,DIAMANTE,SOLAR,,293.66,0,0.0,10,0.18,54,ESPECIAL,MARIA,2143,SOROCABA,SP,BR
2021,2,HH,DIAMANTE,SUPORTE À VENDA,,1019.26,0,0.0,,,,,,2143,SOROCABA,SP,BR
2021,2,HH,DIAMANTE,UNHAS,10.75,83.67,1,0.128,54,1.09,49,ESPECIAL,MARIA,2143,SOROCABA,SP,BR
2021,2,HH,DIAMANTE,ÓLEOS,78.14,1060.27,1,0.074,123,0.9,137,ESPECIAL,MARIA,2143,SOROCABA,SP,BR
2021,3,HH,DIAMANTE,ACESSÓRIOS,1038.07,642.66,28,1.615,115,1.87,61,ESPECIAL,MARIA,1575,SOROCABA,SP,BR
2021,3,HH,DIAMANTE,CABELOS,719.88,3436.41,23,0.209,470,12.31,38,ESPECIAL,MARIA,1575,SOROCABA,SP,BR
2021,3,HH,DIAMANTE,CUIDADOS COM A BARBA,38.13,158.62,1,0.24,21,0.45,46,ESPECIAL,MARIA,1575,SOROCABA,SP,BR
2021,3,HH,DIAMANTE,CUIDADOS COM A PELE,1807.72,9078.13,29,0.199,1201,22.26,54,ESPECIAL,MARIA,1575,SOROCABA,SP,BR
2021,3,HH,DIAMANTE,CUIDADOS FACIAIS,15.29,1833.76,1,0.008,87,1.85,47,ESPECIAL,MARIA,1575,SOROCABA,SP,BR
2021,3,HH,DIAMANTE,DESODORANTES,2939.38,5880.07,138,0.5,798,12.62,63,ESPECIAL,MARIA,1575,SOROCABA,SP,BR
2021,3,HH,DIAMANTE,EMBALAGENS,,12.25,0,0.0,,,,,,1575,SOROCABA,SP,BR
2021,3,HH,DIAMANTE,GIFTS,164.56,2123.87,3,0.077,107,1.39,77,ESPECIAL,MARIA,1575,SOROCABA,SP,BR
2021,3,HH,DIAMANTE,HOME CARE,361.75,,10,,0,0.04,0,ESPECIAL,MARIA,1575,SOROCABA,SP,BR
2021,3,HH,DIAMANTE,INFANTIL,23.69,1707.29,1,0.014,208,4.83,43,ESPECIAL,MARIA,1575,SOROCABA,SP,BR
2021,3,HH,DIAMANTE,MAQUIAGEM,802.19,4746.16,27,0.169,641,8.84,73,ESPECIAL,MARIA,1575,SOROCABA,SP,BR
2021,3,HH,DIAMANTE,PERFUMARIA,3642.0,69351.59,39,0.053,2001,35.46,56,ESPECIAL,MARIA,1575,SOROCABA,SP,BR
2021,3,HH,DIAMANTE,SABONETE CORPO,272.42,1397.89,10,0.195,231,6.18,37,ESPECIAL,MARIA,1575,SOROCABA,SP,BR
2021,3,HH,DIAMANTE,SOLAR,15.92,99.44,0,0.16,10,0.18,57,ESPECIAL,MARIA,1575,SOROCABA,SP,BR
2021,3,HH,DIAMANTE,SUPORTE À VENDA,,1515.99,0,0.0,,,,,,1575,SOROCABA,SP,BR
2021,3,HH,DIAMANTE,UNHAS,2.09,178.58,0,0.012,38,0.54,71,ESPECIAL,MARIA,1575,SOROCABA,SP,BR
2021,3,HH,DIAMANTE,ÓLEOS,97.67,830.41,2,0.118,118,1.98,59,ESPECIAL,MARIA,1575,SOROCABA,SP,BR
2021,4,HH,DIAMANTE,ACESSÓRIOS,935.64,1096.54,25,0.853,105,2.49,42,ESPECIAL,MARIA,2272,SOROCABA,SP,BR
2021,4,HH,DIAMANTE,CABELOS,1981.24,8153.24,71,0.243,333,7.92,42,ESPECIAL,MARIA,2272,SOROCABA,SP,BR
