ANO,MES,COD_CLIENTE,CLIENTE_DESCRICAO,MATERIAL_DESCRICAO_CATEGORIA,VALOR_RUPTURA_MONETARIO,VALOR_PEDIDO_MONETARIO,VOLUME_RUPTURA_UND,RUPTURA_PERCENTUAL,ESTOQUE,DDV,COBERTURA_DIAS,TIPO_CLIENTE,CONTATO_CLIENTE,VLR_VOLUME_REAL,CIDADE,UF,PAIS
2021,1,II,DIAMANTE,ACESSÓRIOS,1015.96,1069.87,33,0.95,,,,nan,,2024,BENTO GONCALVES,RS,BR
2021,1,II,DIAMANTE,CABELOS,1390.59,5258.08,53,0.264,,,,nan,,2024,BENTO GONCALVES,RS,BR
2021,1,II,DIAMANTE,CUIDADOS COM A BARBA,15.92,154.68,0,0.103,,,,nan,,2024,BENTO GONCALVES,RS,BR
2021,1,II,DIAMANTE,CUIDADOS COM A PELE,3313.47,27713.25,71,0.12,,,,nan,,2024,BENTO GONCALVES,RS,BR
2021,1,II,DIAMANTE,CUIDADOS FACIAIS,24.32,1832.1,1,0.013,,,,nan,,2024,BENTO GONCALVES,RS,BR
2021,1,II,DIAMANTE,DESODORANTES,2541.64,4587.56,129,0.554,,,,nan,,2024,BENTO GONCALVES,RS,BR
2021,1,II,DIAMANTE,EMBALAGENS,,15.74,0,0.0,,,,nan,,2024,BENTO GONCALVES,RS,BR
2021,1,II,DIAMANTE,GIFTS,790.33,1505.11,10,0.525,,,,nan,,2024,BENTO GONCALVES,RS,BR
2021,1,II,DIAMANTE,INFANTIL,171.17,2515.65,8,0.068,,,,nan,,2024,BENTO GONCALVES,RS,BR
2021,1,II,DIAMANTE,MAQUIAGEM,925.98,3866.1,47,0.24,,,,nan,,2024,BENTO GONCALVES,RS,BR
2021,1,II,DIAMANTE,PERFUMARIA,3373.96,74068.89,37,0.046,,,,nan,,2024,BENTO GONCALVES,RS,BR
2021,1,II,DIAMANTE,SABONETE CORPO,330.51,1575.27,20,0.21,,,,nan,,2024,BENTO GONCALVES,RS,BR
2021,1,II,DIAMANTE,SOLAR,,102.88,0,0.0,,,,nan,,2024,BENTO GONCALVES,RS,BR
2021,1,II,DIAMANTE,SUPORTE À VENDA,,1238.35,0,0.0,,,,nan,,2024,BENTO GONCALVES,RS,BR
2021,1,II,DIAMANTE,UNHAS,83.89,122.17,11,0.687,,,,nan,,2024,BENTO GONCALVES,RS,BR
2021,1,II,DIAMANTE,ÓLEOS,117.2,1076.29,2,0.109,,,,nan,,2024,BENTO GONCALVES,RS,BR
2021,2,II,DIAMANTE,ACESSÓRIOS,853.06,615.82,17,1.385,84,0.89,94,ESPECIAL,MARIA,1404,BENTO GONCALVES,RS,BR
2021,2,II,DIAMANTE,CABELOS,806.79,1985.8,27,0.406,274,5.92,46,ESPECIAL,MARIA,1404,BENTO GONCALVES,RS,BR
