ANO,MES,COD_CLIENTE,CLIENTE_DESCRICAO,MATERIAL_DESCRICAO_CATEGORIA,VALOR_RUPTURA_MONETARIO,VALOR_PEDIDO_MONETARIO,VOLUME_RUPTURA_UND,RUPTURA_PERCENTUAL,ESTOQUE,DDV,COBERTURA_DIAS,TIPO_CLIENTE,CONTATO_CLIENTE,VLR_VOLUME_REAL,CIDADE,UF,PAIS
2021,1,JJ,SAFIRA,ACESSÓRIOS,2947.47,896.63,105,3.287,47,2.16,22,PADRÃO,MATHEUS,2765,FORMOSA,GO,BR
2021,1,JJ,SAFIRA,CABELOS,4681.29,8513.82,185,0.55,116,6.25,19,PADRÃO,MATHEUS,2765,FORMOSA,GO,BR
2021,1,JJ,SAFIRA,CUIDADOS COM A BARBA,241.71,327.98,6,0.737,11,0.4,28,PADRÃO,MATHEUS,2765,FORMOSA,GO,BR
2021,1,JJ,SAFIRA,CUIDADOS COM A PELE,4900.53,19974.84,129,0.245,696,15.21,46,PADRÃO,MATHEUS,2765,FORMOSA,GO,BR
2021,1,JJ,SAFIRA,CUIDADOS FACIAIS,955.94,2847.74,11,0.336,84,1.13,74,PADRÃO,MATHEUS,2765,FORMOSA,GO,BR
2021,1,JJ,SAFIRA,DESODORANTES,10760.56,11693.89,545,0.92,349,14.25,24,PADRÃO,MATHEUS,2765,FORMOSA,GO,BR
2021,1,JJ,SAFIRA,EMBALAGENS,,320.85,0,0.0,,,,nan,,2765,FORMOSA,GO,BR
2021,1,JJ,SAFIRA,GIFTS,1997.7,2036.77,25,0.981,46,2.64,17,PADRÃO,MATHEUS,2765,FORMOSA,GO,BR
2021,1,JJ,nan,nan,,,,,8,0.26,31,PADRÃO,MATHEUS,2765,FORMOSA,GO,BR
2021,1,JJ,SAFIRA,INFANTIL,1212.42,3988.63,49,0.304,86,2.66,32,PADRÃO,MATHEUS,2765,FORMOSA,GO,BR
