ANO,MES,COD_CLIENTE,CLIENTE_DESCRICAO,MATERIAL_DESCRICAO_CATEGORIA,VALOR_RUPTURA_MONETARIO,VALOR_PEDIDO_MONETARIO,VOLUME_RUPTURA_UND,RUPTURA_PERCENTUAL,ESTOQUE,DDV,COBERTURA_DIAS,TIPO_CLIENTE,CONTATO_CLIENTE,VLR_VOLUME_REAL,CIDADE,UF,PAIS
2021,1,LL,RUBI,ACESSÓRIOS,915.07,861.89,27,1.062,48,1.25,38,PADRÃO,RICARDO,2243,CAMANDUCAIA,MG,BR
2021,1,LL,RUBI,CABELOS,1351.42,6243.57,51,0.216,177,3.74,47,PADRÃO,RICARDO,2243,CAMANDUCAIA,MG,BR
2021,1,LL,RUBI,CUIDADOS COM A BARBA,34.22,199.4,1,0.172,15,0.27,56,PADRÃO,RICARDO,2243,CAMANDUCAIA,MG,BR
2021,1,LL,RUBI,CUIDADOS COM A PELE,1501.16,19483.67,29,0.077,806,10.25,79,PADRÃO,RICARDO,2243,CAMANDUCAIA,MG,BR
2021,1,LL,RUBI,CUIDADOS FACIAIS,,1537.91,0,0.0,72,0.69,104,PADRÃO,RICARDO,2243,CAMANDUCAIA,MG,BR
2021,1,LL,RUBI,DESODORANTES,949.11,5343.52,47,0.178,266,4.47,60,PADRÃO,RICARDO,2243,CAMANDUCAIA,MG,BR
2021,1,LL,RUBI,EMBALAGENS,,34.6,0,0.0,,,,nan,,2243,CAMANDUCAIA,MG,BR
2021,1,LL,RUBI,GIFTS,538.99,1777.1,7,0.303,43,1.09,40,PADRÃO,RICARDO,2243,CAMANDUCAIA,MG,BR
2021,1,LL,nan,nan,,,,,10,0.29,35,PADRÃO,RICARDO,2243,CAMANDUCAIA,MG,BR
2021,1,LL,RUBI,INFANTIL,124.94,3521.29,4,0.035,138,1.75,79,PADRÃO,RICARDO,2243,CAMANDUCAIA,MG,BR
2021,1,LL,RUBI,MAQUIAGEM,625.56,5096.06,18,0.123,392,7.75,51,PADRÃO,RICARDO,2243,CAMANDUCAIA,MG,BR
2021,1,LL,RUBI,PERFUMARIA,341.55,101358.58,3,0.003,1609,23.07,70,PADRÃO,RICARDO,2243,CAMANDUCAIA,MG,BR
2021,1,LL,RUBI,SABONETE CORPO,31.93,1116.32,2,0.029,162,3.22,50,PADRÃO,RICARDO,2243,CAMANDUCAIA,MG,BR
2021,1,LL,RUBI,SOLAR,46.5,27.28,1,1.705,7,0.07,106,PADRÃO,RICARDO,2243,CAMANDUCAIA,MG,BR
2021,1,LL,RUBI,SUPORTE À VENDA,,756.88,0,0.0,,,,nan,,2243,CAMANDUCAIA,MG,BR
2021,1,LL,RUBI,UNHAS,37.92,107.18,4,0.354,18,0.53,34,PADRÃO,RICARDO,2243,CAMANDUCAIA,MG,BR
2021,1,LL,RUBI,ÓLEOS,708.75,1022.17,13,0.693,13,0.43,30,PADRÃO,RICARDO,2243,CAMANDUCAIA,MG,BR
2021,2,LL,RUBI,ACESSÓRIOS,278.32,490.92,5,0.567,42,0.99,42,PADRÃO,RICARDO,1122,CAMANDUCAIA,MG,BR
2021,2,LL,RUBI,CABELOS,374.06,2110.53,12,0.177,191,6.38,30,PADRÃO,RICARDO,1122,CAMANDUCAIA,MG,BR
2021,2,LL,RUBI,CUIDADOS COM A BARBA,20.83,225.85,1,0.092,13,0.2,67,PADRÃO,RICARDO,1122,CAMANDUCAIA,MG,BR
2021,2,LL,RUBI,CUIDADOS COM A PELE,736.18,8565.66,18,0.086,575,6.4,90,PADRÃO,RICARDO,1122,CAMANDUCAIA,MG,BR
2021,2,LL,RUBI,CUIDADOS FACIAIS,54.12,979.45,1,0.055,64,0.89,72,PADRÃO,RICARDO,1122,CAMANDUCAIA,MG,BR
2021,2,LL,RUBI,DESODORANTES,376.69,2464.36,16,0.153,253,4.87,52,PADRÃO,RICARDO,1122,CAMANDUCAIA,MG,BR
2021,2,LL,RUBI,EMBALAGENS,,32.51,0,0.0,,,,nan,,1122,CAMANDUCAIA,MG,BR
2021,2,LL,RUBI,GIFTS,134.53,1647.85,3,0.082,65,1.55,42,PADRÃO,RICARDO,1122,CAMANDUCAIA,MG,BR
2021,2,LL,RUBI,HOME CARE,47.04,227.38,2,0.207,,,,nan,,1122,CAMANDUCAIA,MG,BR
2021,2,LL,RUBI,INFANTIL,73.37,1194.23,2,0.061,122,2.99,41,PADRÃO,RICARDO,1122,CAMANDUCAIA,MG,BR
2021,2,LL,RUBI,MAQUIAGEM,242.61,2945.24,9,0.082,442,4.75,93,PADRÃO,RICARDO,1122,CAMANDUCAIA,MG,BR
2021,2,LL,RUBI,PERFUMARIA,1441.31,51621.83,16,0.028,1583,21.25,75,PADRÃO,RICARDO,1122,CAMANDUCAIA,MG,BR
2021,2,LL,RUBI,SABONETE CORPO,100.41,1451.33,5,0.069,110,1.88,59,PADRÃO,RICARDO,1122,CAMANDUCAIA,MG,BR
2021,2,LL,RUBI,SOLAR,14.33,108.09,0,0.133,5,0.07,71,PADRÃO,RICARDO,1122,CAMANDUCAIA,MG,BR
2021,2,LL,RUBI,SUPORTE À VENDA,,371.31,0,0.0,,,,nan,,1122,CAMANDUCAIA,MG,BR
2021,2,LL,RUBI,UNHAS,17.62,41.75,2,0.422,20,0.55,36,PADRÃO,RICARDO,1122,CAMANDUCAIA,MG,BR
2021,2,LL,RUBI,ÓLEOS,271.16,728.5,4,0.372,19,0.41,47,PADRÃO,RICARDO,1122,CAMANDUCAIA,MG,BR
2021,3,LL,RUBI,ACESSÓRIOS,236.24,458.06,7,0.516,37,1.21,31,PADRÃO,RICARDO,879,CAMANDUCAIA,MG,BR
2021,3,LL,RUBI,CABELOS,434.66,2190.7,13,0.198,342,10.2,34,PADRÃO,RICARDO,879,CAMANDUCAIA,MG,BR
2021,3,LL,RUBI,CUIDADOS COM A BARBA,17.43,82.59,0,0.211,13,0.27,47,PADRÃO,RICARDO,879,CAMANDUCAIA,MG,BR
2021,3,LL,RUBI,CUIDADOS COM A PELE,391.72,6193.11,9,0.063,764,11.28,68,PADRÃO,RICARDO,879,CAMANDUCAIA,MG,BR
2021,3,LL,RUBI,CUIDADOS FACIAIS,36.36,692.65,1,0.052,61,0.96,64,PADRÃO,RICARDO,879,CAMANDUCAIA,MG,BR
2021,3,LL,RUBI,DESODORANTES,446.78,1665.25,22,0.268,265,5.47,48,PADRÃO,RICARDO,879,CAMANDUCAIA,MG,BR
2021,3,LL,RUBI,EMBALAGENS,,29.75,0,0.0,,,,nan,,879,CAMANDUCAIA,MG,BR
2021,3,LL,RUBI,GIFTS,30.94,1547.39,1,0.02,72,0.97,74,PADRÃO,RICARDO,879,CAMANDUCAIA,MG,BR
2021,3,LL,RUBI,HOME CARE,55.53,44.43,2,1.25,0,0.01,0,PADRÃO,RICARDO,879,CAMANDUCAIA,MG,BR
2021,3,LL,RUBI,INFANTIL,,937.01,0,0.0,129,2.76,47,PADRÃO,RICARDO,879,CAMANDUCAIA,MG,BR
2021,3,LL,RUBI,MAQUIAGEM,51.04,1975.35,2,0.026,541,6.08,89,PADRÃO,RICARDO,879,CAMANDUCAIA,MG,BR
2021,3,LL,RUBI,PERFUMARIA,440.94,50740.1,4,0.009,1519,23.63,64,PADRÃO,RICARDO,879,CAMANDUCAIA,MG,BR
2021,3,LL,RUBI,SABONETE CORPO,76.6,476.67,3,0.161,136,3.28,41,PADRÃO,RICARDO,879,CAMANDUCAIA,MG,BR
2021,3,LL,RUBI,SOLAR,,30.28,0,0.0,5,0.11,44,PADRÃO,RICARDO,879,CAMANDUCAIA,MG,BR
2021,3,LL,RUBI,SUPORTE À VENDA,,590.57,0,0.0,,,,nan,,879,CAMANDUCAIA,MG,BR
2021,3,LL,RUBI,UNHAS,4.15,19.81,1,0.209,24,0.28,85,PADRÃO,RICARDO,879,CAMANDUCAIA,MG,BR
2021,3,LL,RUBI,ÓLEOS,312.54,773.26,5,0.404,26,0.9,29,PADRÃO,RICARDO,879,CAMANDUCAIA,MG,BR
2021,4,LL,RUBI,ACESSÓRIOS,406.45,371.29,13,1.095,33,0.75,44,PADRÃO,RICARDO,1211,CAMANDUCAIA,MG,BR
2021,4,LL,RUBI,CABELOS,568.63,4859.18,20,0.117,325,3.51,92,PADRÃO,RICARDO,1211,CAMANDUCAIA,MG,BR
2021,4,LL,RUBI,CUIDADOS COM A BARBA,,151.09,0,0.0,19,0.18,107,PADRÃO,RICARDO,1211,CAMANDUCAIA,MG,BR
2021,4,LL,RUBI,CUIDADOS COM A PELE,304.95,8052.11,8,0.038,939,10.65,88,PADRÃO,RICARDO,1211,CAMANDUCAIA,MG,BR
2021,4,LL,RUBI,CUIDADOS FACIAIS,39.4,1433.76,1,0.027,61,0.44,137,PADRÃO,RICARDO,1211,CAMANDUCAIA,MG,BR
2021,4,LL,RUBI,DESODORANTES,388.44,3194.07,18,0.122,280,3.5,80,PADRÃO,RICARDO,1211,CAMANDUCAIA,MG,BR
2021,4,LL,RUBI,EMBALAGENS,,13.63,0,0.0,,,,nan,,1211,CAMANDUCAIA,MG,BR
2021,4,LL,RUBI,GIFTS,98.53,1848.53,2,0.053,64,0.87,74,PADRÃO,RICARDO,1211,CAMANDUCAIA,MG,BR
2021,4,LL,RUBI,HOME CARE,55.53,,2,,15,0.03,457,PADRÃO,RICARDO,1211,CAMANDUCAIA,MG,BR
2021,4,LL,RUBI,INFANTIL,37.86,2997.96,2,0.013,90,1.97,46,PADRÃO,RICARDO,1211,CAMANDUCAIA,MG,BR
2021,4,LL,RUBI,MAQUIAGEM,425.38,2651.93,10,0.16,474,1.83,259,PADRÃO,RICARDO,1211,CAMANDUCAIA,MG,BR
2021,4,LL,RUBI,PERFUMARIA,375.13,39259.4,3,0.01,1717,21.34,80,PADRÃO,RICARDO,1211,CAMANDUCAIA,MG,BR
2021,4,LL,RUBI,SABONETE CORPO,51.86,742.12,2,0.07,187,1.56,120,PADRÃO,RICARDO,1211,CAMANDUCAIA,MG,BR
2021,4,LL,RUBI,SOLAR,,31.84,0,0.0,8,0.03,284,PADRÃO,RICARDO,1211,CAMANDUCAIA,MG,BR
2021,4,LL,RUBI,SUPORTE À VENDA,,477.6,0,0.0,,,,nan,,1211,CAMANDUCAIA,MG,BR
2021,4,LL,RUBI,UNHAS,6.47,38.19,1,0.169,21,0.24,86,PADRÃO,RICARDO,1211,CAMANDUCAIA,MG,BR
2021,4,LL,RUBI,ÓLEOS,160.58,634.89,3,0.253,51,0.82,62,PADRÃO,RICARDO,1211,CAMANDUCAIA,MG,BR
2021,5,LL,RUBI,ACESSÓRIOS,280.41,298.55,8,0.939,34,0.33,103,PADRÃO,RICARDO,1034,CAMANDUCAIA,MG,BR
2021,5,LL,RUBI,CABELOS,209.69,2526.55,7,0.083,281,5.91,48,PADRÃO,RICARDO,1034,CAMANDUCAIA,MG,BR
2021,5,LL,RUBI,CUIDADOS COM A BARBA,32.45,191.88,1,0.169,31,0.27,115,PADRÃO,RICARDO,1034,CAMANDUCAIA,MG,BR
2021,5,LL,RUBI,CUIDADOS COM A PELE,444.65,11790.19,13,0.038,839,8.89,94,PADRÃO,RICARDO,1034,CAMANDUCAIA,MG,BR
2021,5,LL,RUBI,CUIDADOS FACIAIS,126.25,1709.48,2,0.074,56,0.68,82,PADRÃO,RICARDO,1034,CAMANDUCAIA,MG,BR
2021,5,LL,RUBI,DESODORANTES,246.23,1651.86,11,0.149,270,5.57,49,PADRÃO,RICARDO,1034,CAMANDUCAIA,MG,BR
2021,5,LL,RUBI,EMBALAGENS,,18.48,0,0.0,,,,nan,,1034,CAMANDUCAIA,MG,BR
2021,5,LL,RUBI,GIFTS,,789.26,0,0.0,67,0.94,71,PADRÃO,RICARDO,1034,CAMANDUCAIA,MG,BR
2021,5,LL,RUBI,HOME CARE,22.21,131.2,1,0.169,13,0.05,260,PADRÃO,RICARDO,1034,CAMANDUCAIA,MG,BR
2021,5,LL,RUBI,INFANTIL,15.86,899.19,1,0.018,80,2.55,31,PADRÃO,RICARDO,1034,CAMANDUCAIA,MG,BR
2021,5,LL,RUBI,MAQUIAGEM,356.4,1427.15,12,0.25,468,1.98,236,PADRÃO,RICARDO,1034,CAMANDUCAIA,MG,BR
2021,5,LL,RUBI,PERFUMARIA,242.84,36188.78,3,0.007,1625,25.62,63,PADRÃO,RICARDO,1034,CAMANDUCAIA,MG,BR
2021,5,LL,RUBI,SABONETE CORPO,65.12,962.2,2,0.068,230,1.45,159,PADRÃO,RICARDO,1034,CAMANDUCAIA,MG,BR
2021,5,LL,RUBI,SOLAR,,114.16,0,0.0,6,0.05,116,PADRÃO,RICARDO,1034,CAMANDUCAIA,MG,BR
2021,5,LL,RUBI,SUPORTE À VENDA,,526.48,0,0.0,,,,nan,,1034,CAMANDUCAIA,MG,BR
