ANO,MES,COD_CLIENTE,CLIENTE_DESCRICAO,MATERIAL_DESCRICAO_CATEGORIA,VALOR_RUPTURA_MONETARIO,VALOR_PEDIDO_MONETARIO,VOLUME_RUPTURA_UND,RUPTURA_PERCENTUAL,ESTOQUE,DDV,COBERTURA_DIAS,TIPO_CLIENTE,CONTATO_CLIENTE,VLR_VOLUME_REAL,CIDADE,UF,PAIS
2021,1,MM,PRATA,ACESSÓRIOS,944.83,680.7,36,1.388,,,,nan,,2466,BIGUACU,SC,BR
2021,1,MM,PRATA,CABELOS,406.93,2771.06,16,0.147,,,,nan,,2466,BIGUACU,SC,BR
2021,1,MM,PRATA,CUIDADOS COM A BARBA,12.01,169.66,0,0.071,,,,nan,,2466,BIGUACU,SC,BR
2021,1,MM,PRATA,CUIDADOS COM A PELE,2229.14,33697.64,48,0.066,,,,nan,,2466,BIGUACU,SC,BR
2021,1,MM,PRATA,CUIDADOS FACIAIS,43.28,565.75,1,0.077,,,,nan,,2466,BIGUACU,SC,BR
2021,1,MM,PRATA,DESODORANTES,542.44,3880.58,27,0.14,,,,nan,,2466,BIGUACU,SC,BR
2021,1,MM,PRATA,EMBALAGENS,,30.16,0,0.0,,,,nan,,2466,BIGUACU,SC,BR
2021,1,MM,PRATA,GIFTS,802.18,1407.49,10,0.57,,,,nan,,2466,BIGUACU,SC,BR
2021,1,MM,PRATA,INFANTIL,1083.12,5156.17,27,0.21,,,,nan,,2466,BIGUACU,SC,BR
2021,1,MM,PRATA,MAQUIAGEM,751.03,1422.79,27,0.528,,,,nan,,2466,BIGUACU,SC,BR
2021,1,MM,PRATA,PERFUMARIA,4734.75,127180.37,50,0.037,,,,nan,,2466,BIGUACU,SC,BR
2021,1,MM,PRATA,SABONETE CORPO,228.3,1177.75,15,0.194,,,,nan,,2466,BIGUACU,SC,BR
2021,1,MM,PRATA,SOLAR,,128.53,0,0.0,,,,nan,,2466,BIGUACU,SC,BR
2021,1,MM,PRATA,SUPORTE À VENDA,,1590.21,0,0.0,,,,nan,,2466,BIGUACU,SC,BR
2021,1,MM,PRATA,UNHAS,10.41,74.58,1,0.14,,,,nan,,2466,BIGUACU,SC,BR
2021,1,MM,PRATA,ÓLEOS,,1848.28,0,0.0,,,,nan,,2466,BIGUACU,SC,BR
2021,2,MM,PRATA,ACESSÓRIOS,56.09,352.48,2,0.159,,,,nan,,920,BIGUACU,SC,BR
