ANO,MES,COD_CLIENTE,CLIENTE_DESCRICAO,MATERIAL_DESCRICAO_CATEGORIA,VALOR_RUPTURA_MONETARIO,VALOR_PEDIDO_MONETARIO,VOLUME_RUPTURA_UND,RUPTURA_PERCENTUAL,ESTOQUE,DDV,COBERTURA_DIAS,TIPO_CLIENTE,CONTATO_CLIENTE,VLR_VOLUME_REAL,CIDADE,UF,PAIS
2021,1,NN,PRATA,ACESSÓRIOS,132.97,6244.8,4,0.021,,,,nan,,8003,PORTO ALEGRE,RS,BR
2021,1,NN,PRATA,CABELOS,67.61,15311.96,2,0.004,,,,nan,,8003,PORTO ALEGRE,RS,BR
2021,1,NN,PRATA,CUIDADOS COM A BARBA,,399.4,0,0.0,,,,nan,,8003,PORTO ALEGRE,RS,BR
2021,1,NN,PRATA,CUIDADOS COM A PELE,110.21,63360.43,2,0.002,,,,nan,,8003,PORTO ALEGRE,RS,BR
2021,1,NN,PRATA,CUIDADOS FACIAIS,27.06,5157.45,0,0.005,,,,nan,,8003,PORTO ALEGRE,RS,BR
2021,1,NN,PRATA,DESODORANTES,29.86,10064.33,2,0.003,,,,nan,,8003,PORTO ALEGRE,RS,BR
2021,1,NN,PRATA,EMBALAGENS,,552.6,0,0.0,,,,nan,,8003,PORTO ALEGRE,RS,BR
2021,1,NN,PRATA,GIFTS,24.24,7340.42,1,0.003,,,,nan,,8003,PORTO ALEGRE,RS,BR
2021,1,NN,PRATA,INFANTIL,23.99,15411.11,1,0.002,,,,nan,,8003,PORTO ALEGRE,RS,BR
2021,1,NN,PRATA,MAQUIAGEM,29.23,8766.93,1,0.003,,,,nan,,8003,PORTO ALEGRE,RS,BR
2021,1,NN,PRATA,PERFUMARIA,138.61,419091.19,2,0.0,,,,nan,,8003,PORTO ALEGRE,RS,BR
2021,1,NN,PRATA,SABONETE CORPO,11.21,5620.07,0,0.002,,,,nan,,8003,PORTO ALEGRE,RS,BR
2021,1,NN,PRATA,SOLAR,,856.55,0,0.0,,,,nan,,8003,PORTO ALEGRE,RS,BR
2021,1,NN,PRATA,SUPORTE À VENDA,,2234.4,0,0.0,,,,nan,,8003,PORTO ALEGRE,RS,BR
2021,1,NN,PRATA,UNHAS,,156.33,0,0.0,,,,nan,,8003,PORTO ALEGRE,RS,BR
2021,1,NN,PRATA,ÓLEOS,,7715.64,0,0.0,,,,nan,,8003,PORTO ALEGRE,RS,BR
2021,2,NN,PRATA,ACESSÓRIOS,7.49,3050.34,0,0.002,189,5.37,35,PADRÃO,BIANCA,4159,PORTO ALEGRE,RS,BR
2021,2,NN,PRATA,CABELOS,9.39,5757.43,0,0.002,458,19.04,24,PADRÃO,BIANCA,4159,PORTO ALEGRE,RS,BR
2021,2,NN,PRATA,CUIDADOS COM A BARBA,7.49,572.48,0,0.013,36,0.39,91,PADRÃO,BIANCA,4159,PORTO ALEGRE,RS,BR
2021,2,NN,PRATA,CUIDADOS COM A PELE,12.01,19500.23,0,0.001,1301,20.46,64,PADRÃO,BIANCA,4159,PORTO ALEGRE,RS,BR
2021,2,NN,PRATA,CUIDADOS FACIAIS,,2501.43,0,0.0,117,2.1,56,PADRÃO,BIANCA,4159,PORTO ALEGRE,RS,BR
2021,2,NN,PRATA,DESODORANTES,,5866.45,0,0.0,985,12.65,78,PADRÃO,BIANCA,4159,PORTO ALEGRE,RS,BR
2021,2,NN,PRATA,EMBALAGENS,,423.98,0,0.0,,,,nan,,4159,PORTO ALEGRE,RS,BR
2021,2,NN,PRATA,GIFTS,,4185.21,0,0.0,113,3.86,29,PADRÃO,BIANCA,4159,PORTO ALEGRE,RS,BR
2021,2,NN,PRATA,HOME CARE,,172.49,0,0.0,,,,nan,,4159,PORTO ALEGRE,RS,BR
2021,2,NN,PRATA,INFANTIL,,4332.76,0,0.0,369,11.22,33,PADRÃO,BIANCA,4159,PORTO ALEGRE,RS,BR
2021,2,NN,PRATA,MAQUIAGEM,36.33,6040.09,1,0.006,774,18.95,41,PADRÃO,BIANCA,4159,PORTO ALEGRE,RS,BR
2021,2,NN,PRATA,PERFUMARIA,55.19,193552.9,1,0.0,3548,109.52,32,PADRÃO,BIANCA,4159,PORTO ALEGRE,RS,BR
2021,2,NN,PRATA,SABONETE CORPO,5.32,7325.8,0,0.001,327,14.64,22,PADRÃO,BIANCA,4159,PORTO ALEGRE,RS,BR
2021,2,NN,PRATA,SOLAR,,788.15,0,0.0,26,1.18,22,PADRÃO,BIANCA,4159,PORTO ALEGRE,RS,BR
2021,2,NN,PRATA,SUPORTE À VENDA,,2177.43,0,0.0,,,,nan,,4159,PORTO ALEGRE,RS,BR
2021,2,NN,PRATA,UNHAS,,151.17,0,0.0,19,0.69,27,PADRÃO,BIANCA,4159,PORTO ALEGRE,RS,BR
2021,2,NN,PRATA,ÓLEOS,,4038.98,0,0.0,129,2.52,51,PADRÃO,BIANCA,4159,PORTO ALEGRE,RS,BR
2021,3,NN,PRATA,ACESSÓRIOS,10.81,2403.32,0,0.004,129,4.08,32,PADRÃO,BIANCA,3629,PORTO ALEGRE,RS,BR
2021,3,NN,PRATA,CABELOS,25.82,5566.94,1,0.005,486,18.83,26,PADRÃO,BIANCA,3629,PORTO ALEGRE,RS,BR
2021,3,NN,PRATA,CUIDADOS COM A BARBA,,275.37,0,0.0,31,0.42,74,PADRÃO,BIANCA,3629,PORTO ALEGRE,RS,BR
