ANO,MES,COD_CLIENTE,CLIENTE_DESCRICAO,MATERIAL_DESCRICAO_CATEGORIA,VALOR_RUPTURA_MONETARIO,VALOR_PEDIDO_MONETARIO,VOLUME_RUPTURA_UND,RUPTURA_PERCENTUAL,ESTOQUE,DDV,COBERTURA_DIAS,TIPO_CLIENTE,CONTATO_CLIENTE,VLR_VOLUME_REAL,CIDADE,UF,PAIS
2021,1,OO,PRATA,ACESSÓRIOS,14821.82,6838.94,469,2.167,210,4.83,43,PADRÃO,BIANCA,13404,CAMBUI,MG,BR
2021,1,OO,PRATA,CABELOS,6392.48,21972.28,240,0.291,833,9.82,85,PADRÃO,BIANCA,13404,CAMBUI,MG,BR
2021,1,OO,PRATA,CUIDADOS COM A BARBA,91.23,703.85,3,0.13,31,0.44,70,PADRÃO,BIANCA,13404,CAMBUI,MG,BR
2021,1,OO,PRATA,CUIDADOS COM A PELE,13384.89,111279.8,285,0.12,3054,28.98,105,PADRÃO,BIANCA,13404,CAMBUI,MG,BR
2021,1,OO,PRATA,CUIDADOS FACIAIS,673.6,6053.63,6,0.111,158,1.55,102,PADRÃO,BIANCA,13404,CAMBUI,MG,BR
2021,1,OO,PRATA,DESODORANTES,3965.24,12967.17,186,0.306,933,14.34,65,PADRÃO,BIANCA,13404,CAMBUI,MG,BR
2021,1,OO,PRATA,EMBALAGENS,,83.16,0,0.0,,,,nan,,13404,CAMBUI,MG,BR
2021,1,OO,PRATA,GIFTS,7691.98,10454.88,98,0.736,124,4.35,29,PADRÃO,BIANCA,13404,CAMBUI,MG,BR
2021,1,OO,nan,nan,,,,,66,0.63,105,PADRÃO,BIANCA,13404,CAMBUI,MG,BR
2021,1,OO,PRATA,INFANTIL,3150.06,28484.64,102,0.111,584,7.34,80,PADRÃO,BIANCA,13404,CAMBUI,MG,BR
2021,1,OO,PRATA,MAQUIAGEM,8003.63,17962.21,273,0.446,914,18.19,50,PADRÃO,BIANCA,13404,CAMBUI,MG,BR
2021,1,OO,PRATA,PERFUMARIA,12106.4,728774.23,183,0.017,13915,188.09,74,PADRÃO,BIANCA,13404,CAMBUI,MG,BR
2021,1,OO,PRATA,SABONETE CORPO,2550.34,6691.15,144,0.381,574,18.23,31,PADRÃO,BIANCA,13404,CAMBUI,MG,BR
2021,1,OO,PRATA,SOLAR,286.95,716.06,6,0.401,19,0.65,29,PADRÃO,BIANCA,13404,CAMBUI,MG,BR
2021,1,OO,PRATA,SUPORTE À VENDA,,13490.06,0,0.0,,,,nan,,13404,CAMBUI,MG,BR
2021,1,OO,PRATA,UNHAS,454.33,349.59,56,1.3,67,1.9,35,PADRÃO,BIANCA,13404,CAMBUI,MG,BR
2021,1,OO,PRATA,ÓLEOS,4181.51,7857.64,69,0.532,57,2.2,26,PADRÃO,BIANCA,13404,CAMBUI,MG,BR
2021,2,OO,PRATA,ACESSÓRIOS,4896.59,4591.61,123,1.066,201,3.19,63,PADRÃO,BIANCA,7644,CAMBUI,MG,BR
2021,2,OO,PRATA,CABELOS,3425.26,7394.87,104,0.463,821,13.66,60,PADRÃO,BIANCA,7644,CAMBUI,MG,BR
2021,2,OO,PRATA,CUIDADOS COM A BARBA,90.99,512.6,2,0.177,32,0.24,136,PADRÃO,BIANCA,7644,CAMBUI,MG,BR
2021,2,OO,PRATA,CUIDADOS COM A PELE,5575.84,34911.37,159,0.16,2949,20.04,147,PADRÃO,BIANCA,7644,CAMBUI,MG,BR
2021,2,OO,PRATA,CUIDADOS FACIAIS,132.68,3673.79,2,0.036,164,1.52,108,PADRÃO,BIANCA,7644,CAMBUI,MG,BR
2021,2,OO,PRATA,DESODORANTES,1410.57,10448.02,64,0.135,1047,11.07,95,PADRÃO,BIANCA,7644,CAMBUI,MG,BR
2021,2,OO,PRATA,EMBALAGENS,,42.65,0,0.0,,,,nan,,7644,CAMBUI,MG,BR
2021,2,OO,PRATA,GIFTS,1649.07,5830.84,23,0.283,266,7.97,33,PADRÃO,BIANCA,7644,CAMBUI,MG,BR
2021,2,OO,PRATA,HOME CARE,387.43,1383.86,15,0.28,,,,nan,,7644,CAMBUI,MG,BR
2021,2,OO,PRATA,INFANTIL,644.22,6978.58,20,0.092,573,8.93,64,PADRÃO,BIANCA,7644,CAMBUI,MG,BR
2021,2,OO,PRATA,MAQUIAGEM,2497.24,12711.75,78,0.196,1226,15.3,80,PADRÃO,BIANCA,7644,CAMBUI,MG,BR
2021,2,OO,PRATA,PERFUMARIA,34866.14,394462.15,521,0.088,12830,150.64,85,PADRÃO,BIANCA,7644,CAMBUI,MG,BR
2021,2,OO,PRATA,SABONETE CORPO,671.13,12067.03,27,0.056,559,12.15,46,PADRÃO,BIANCA,7644,CAMBUI,MG,BR
2021,2,OO,PRATA,SOLAR,154.86,1212.51,4,0.128,14,0.72,19,PADRÃO,BIANCA,7644,CAMBUI,MG,BR
2021,2,OO,PRATA,SUPORTE À VENDA,,14897.83,0,0.0,,,,nan,,7644,CAMBUI,MG,BR
2021,2,OO,PRATA,UNHAS,105.37,289.87,10,0.364,107,2.73,39,PADRÃO,BIANCA,7644,CAMBUI,MG,BR
2021,2,OO,PRATA,ÓLEOS,1466.01,4471.25,22,0.328,79,2.86,28,PADRÃO,BIANCA,7644,CAMBUI,MG,BR
2021,3,OO,PRATA,ACESSÓRIOS,5302.15,3120.93,164,1.699,133,4.17,32,PADRÃO,BIANCA,6744,CAMBUI,MG,BR
2021,3,OO,PRATA,CABELOS,3017.73,7960.57,91,0.379,976,23.22,42,PADRÃO,BIANCA,6744,CAMBUI,MG,BR
2021,3,OO,PRATA,CUIDADOS COM A BARBA,28.23,278.11,1,0.102,25,0.46,54,PADRÃO,BIANCA,6744,CAMBUI,MG,BR
2021,3,OO,PRATA,CUIDADOS COM A PELE,5249.65,33836.49,115,0.155,3354,28.44,118,PADRÃO,BIANCA,6744,CAMBUI,MG,BR
2021,3,OO,PRATA,CUIDADOS FACIAIS,151.27,2691.91,2,0.056,141,2.43,58,PADRÃO,BIANCA,6744,CAMBUI,MG,BR
2021,3,OO,PRATA,DESODORANTES,3347.43,6806.65,160,0.492,874,14.99,58,PADRÃO,BIANCA,6744,CAMBUI,MG,BR
2021,3,OO,PRATA,EMBALAGENS,,46.56,0,0.0,,,,nan,,6744,CAMBUI,MG,BR
2021,3,OO,PRATA,GIFTS,1159.86,8159.77,14,0.142,237,3.78,63,PADRÃO,BIANCA,6744,CAMBUI,MG,BR
2021,3,OO,PRATA,HOME CARE,319.73,45.69,9,6.998,0,0.05,0,PADRÃO,BIANCA,6744,CAMBUI,MG,BR
2021,3,OO,PRATA,INFANTIL,955.3,8130.19,27,0.117,507,14.38,35,PADRÃO,BIANCA,6744,CAMBUI,MG,BR
