ANO,MES,COD_CLIENTE,CLIENTE_DESCRICAO,MATERIAL_DESCRICAO_CATEGORIA,VALOR_RUPTURA_MONETARIO,VALOR_PEDIDO_MONETARIO,VOLUME_RUPTURA_UND,RUPTURA_PERCENTUAL,ESTOQUE,DDV,COBERTURA_DIAS,TIPO_CLIENTE,CONTATO_CLIENTE,VLR_VOLUME_REAL,CIDADE,UF,PAIS
2021,4,PP,nan,nan,,,,,0,2.35,0,PADRÃO,PEDRO,,nan,nan,nan
2021,4,PP,nan,nan,,,,,0,9.04,0,PADRÃO,PEDRO,,nan,nan,nan
2021,4,PP,nan,nan,,,,,0,0.32,0,PADRÃO,PEDRO,,nan,nan,nan
2021,4,PP,nan,nan,,,,,0,20.13,0,PADRÃO,PEDRO,,nan,nan,nan
2021,4,PP,nan,nan,,,,,0,1.2,0,PADRÃO,PEDRO,,nan,nan,nan
2021,4,PP,nan,nan,,,,,0,11.69,0,PADRÃO,PEDRO,,nan,nan,nan
2021,4,PP,nan,nan,,,,,0,2.92,0,PADRÃO,PEDRO,,nan,nan,nan
2021,4,PP,nan,nan,,,,,0,0.04,0,PADRÃO,PEDRO,,nan,nan,nan
2021,4,PP,nan,nan,,,,,0,5.42,0,PADRÃO,PEDRO,,nan,nan,nan
2021,4,PP,nan,nan,,,,,0,3.51,0,PADRÃO,PEDRO,,nan,nan,nan
2021,4,PP,nan,nan,,,,,0,39.68,0,PADRÃO,PEDRO,,nan,nan,nan
2021,4,PP,nan,nan,,,,,0,6.58,0,PADRÃO,PEDRO,,nan,nan,nan
2021,4,PP,nan,nan,,,,,0,0.06,0,PADRÃO,PEDRO,,nan,nan,nan
2021,4,PP,nan,nan,,,,,0,0.72,0,PADRÃO,PEDRO,,nan,nan,nan
2021,4,PP,nan,nan,,,,,0,1.6,0,PADRÃO,PEDRO,,nan,nan,nan
2021,5,PP,OURO,ACESSÓRIOS,780.97,760.1,27,1.027,38,1.78,21,PADRÃO,PEDRO,2224,FLORIANOPOLIS,SC,BR
2021,5,PP,OURO,CABELOS,1936.43,6459.14,63,0.3,389,13.64,29,PADRÃO,PEDRO,2224,FLORIANOPOLIS,SC,BR
2021,5,PP,OURO,CUIDADOS COM A BARBA,79.15,384.72,2,0.206,19,0.44,43,PADRÃO,PEDRO,2224,FLORIANOPOLIS,SC,BR
2021,5,PP,OURO,CUIDADOS COM A PELE,4351.01,19428.33,128,0.224,621,18.45,34,PADRÃO,PEDRO,2224,FLORIANOPOLIS,SC,BR
2021,5,PP,OURO,CUIDADOS FACIAIS,2894.23,2709.34,32,1.068,28,1.64,17,PADRÃO,PEDRO,2224,FLORIANOPOLIS,SC,BR
2021,5,PP,OURO,DESODORANTES,2702.9,6073.73,118,0.445,387,13.19,29,PADRÃO,PEDRO,2224,FLORIANOPOLIS,SC,BR
2021,5,PP,OURO,GIFTS,695.88,3036.43,8,0.229,37,2.96,12,PADRÃO,PEDRO,2224,FLORIANOPOLIS,SC,BR
2021,5,PP,OURO,HOME CARE,296.29,48.94,8,6.054,0,0.02,0,PADRÃO,PEDRO,2224,FLORIANOPOLIS,SC,BR
2021,5,PP,OURO,INFANTIL,221.79,1911.18,7,0.116,83,5.7,15,PADRÃO,PEDRO,2224,FLORIANOPOLIS,SC,BR
2021,5,PP,OURO,MAQUIAGEM,815.48,3592.82,29,0.227,288,5.03,57,PADRÃO,PEDRO,2224,FLORIANOPOLIS,SC,BR
2021,5,PP,OURO,PERFUMARIA,3373.7,81046.13,45,0.042,1183,38.6,31,PADRÃO,PEDRO,2224,FLORIANOPOLIS,SC,BR
2021,5,PP,OURO,SABONETE CORPO,314.27,2645.94,12,0.119,401,5.96,67,PADRÃO,PEDRO,2224,FLORIANOPOLIS,SC,BR
2021,5,PP,OURO,SOLAR,15.92,154.71,0,0.103,3,0.11,27,PADRÃO,PEDRO,2224,FLORIANOPOLIS,SC,BR
2021,5,PP,OURO,SUPORTE À VENDA,,429.05,0,0.0,,,,nan,,2224,FLORIANOPOLIS,SC,BR
2021,5,PP,OURO,UNHAS,62.61,119.67,5,0.523,7,0.95,7,PADRÃO,PEDRO,2224,FLORIANOPOLIS,SC,BR
2021,5,PP,OURO,ÓLEOS,772.62,2826.76,14,0.273,37,1.15,32,PADRÃO,PEDRO,2224,FLORIANOPOLIS,SC,BR
2021,6,PP,nan,nan,,,,,60,0.88,68,PADRÃO,PEDRO,2393,FLORIANOPOLIS,SC,BR
2021,6,PP,nan,nan,,,,,679,12.69,54,PADRÃO,PEDRO,2393,FLORIANOPOLIS,SC,BR
2021,6,PP,nan,nan,,,,,39,0.41,96,PADRÃO,PEDRO,2393,FLORIANOPOLIS,SC,BR
2021,6,PP,nan,nan,,,,,900,19.49,46,PADRÃO,PEDRO,2393,FLORIANOPOLIS,SC,BR
2021,6,PP,nan,nan,,,,,115,2.91,40,PADRÃO,PEDRO,2393,FLORIANOPOLIS,SC,BR
2021,6,PP,nan,nan,,,,,679,16.46,41,PADRÃO,PEDRO,2393,FLORIANOPOLIS,SC,BR
2021,6,PP,nan,nan,,,,,164,3.06,54,PADRÃO,PEDRO,2393,FLORIANOPOLIS,SC,BR
2021,6,PP,nan,nan,,,,,0,0.03,0,PADRÃO,PEDRO,2393,FLORIANOPOLIS,SC,BR
2021,6,PP,nan,nan,,,,,203,3.16,64,PADRÃO,PEDRO,2393,FLORIANOPOLIS,SC,BR
