ANO,MES,COD_CLIENTE,CLIENTE_DESCRICAO,MATERIAL_DESCRICAO_CATEGORIA,VALOR_RUPTURA_MONETARIO,VALOR_PEDIDO_MONETARIO,VOLUME_RUPTURA_UND,RUPTURA_PERCENTUAL,ESTOQUE,DDV,COBERTURA_DIAS,TIPO_CLIENTE,CONTATO_CLIENTE,VLR_VOLUME_REAL,CIDADE,UF,PAIS
2021,1,AA,ESMERALDA,ACESSÓRIOS,17917.35,6227.34,630,2.877,408,15.57,26,ESPECIAL,JOÃO,19678,RIO BRANCO,AC,BR
2021,1,AA,ESMERALDA,CABELOS,19967.92,58047.95,799,0.344,1072,36.93,29,ESPECIAL,JOÃO,19678,RIO BRANCO,AC,BR
2021,1,AA,ESMERALDA,CUIDADOS COM A BARBA,1224.16,1571.94,32,0.779,72,2.65,27,ESPECIAL,JOÃO,19678,RIO BRANCO,AC,BR
2021,1,AA,ESMERALDA,CUIDADOS COM A PELE,33830.42,164652.68,805,0.205,5220,121.04,43,ESPECIAL,JOÃO,19678,RIO BRANCO,AC,BR
2021,1,AA,ESMERALDA,CUIDADOS FACIAIS,3538.65,15115.23,46,0.234,247,6.53,38,ESPECIAL,JOÃO,19678,RIO BRANCO,AC,BR
2021,1,AA,ESMERALDA,DESODORANTES,38532.62,86203.63,1949,0.447,2760,90.43,31,ESPECIAL,JOÃO,19678,RIO BRANCO,AC,BR
2021,1,AA,ESMERALDA,EMBALAGENS,,444.49,0,0.0,,,,,,19678,RIO BRANCO,AC,BR
2021,1,AA,ESMERALDA,GIFTS,9471.9,18299.58,123,0.518,274,11.67,23,ESPECIAL,JOÃO,19678,RIO BRANCO,AC,BR
2021,1,AA,,,,,,,27,2.26,12,ESPECIAL,JOÃO,19678,RIO BRANCO,AC,BR
2021,1,AA,ESMERALDA,INFANTIL,3970.76,26135.14,185,0.152,690,13.72,50,ESPECIAL,JOÃO,19678,RIO BRANCO,AC,BR
2021,1,AA,ESMERALDA,MAQUIAGEM,17988.32,39833.7,861,0.452,1726,52.71,33,ESPECIAL,JOÃO,19678,RIO BRANCO,AC,BR
2021,1,AA,ESMERALDA,PERFUMARIA,14609.38,687057.92,170,0.021,9807,181.47,54,ESPECIAL,JOÃO,19678,RIO BRANCO,AC,BR
2021,1,AA,ESMERALDA,SABONETE CORPO,4607.27,11533.31,242,0.399,827,38.69,21,ESPECIAL,JOÃO,19678,RIO BRANCO,AC,BR
2021,1,AA,ESMERALDA,SOLAR,157.03,660.68,3,0.238,33,1.18,28,ESPECIAL,JOÃO,19678,RIO BRANCO,AC,BR
2021,1,AA,ESMERALDA,SUPORTE À VENDA,,11719.3,0,0.0,,,,,,19678,RIO BRANCO,AC,BR
2021,1,AA,ESMERALDA,UNHAS,998.95,1114.88,117,0.896,47,2.35,20,ESPECIAL,JOÃO,19678,RIO BRANCO,AC,BR
2021,1,AA,ESMERALDA,ÓLEOS,3842.27,8345.21,69,0.46,153,6.61,23,ESPECIAL,JOÃO,19678,RIO BRANCO,AC,BR
2021,1,BB,OURO,ACESSÓRIOS,13772.79,6314.05,447,2.181,304,12.4,25,PADRÃO,PEDRO,11605,IGUAI,BA,BR
2021,1,BB,OURO,CABELOS,11856.53,36685.63,453,0.323,732,24.44,30,PADRÃO,PEDRO,11605,IGUAI,BA,BR
2021,1,BB,OURO,CUIDADOS COM A BARBA,362.4,982.32,9,0.369,54,1.69,32,PADRÃO,PEDRO,11605,IGUAI,BA,BR
2021,1,BB,OURO,CUIDADOS COM A PELE,15932.32,80803.68,400,0.197,2870,64.32,45,PADRÃO,PEDRO,11605,IGUAI,BA,BR
2021,1,BB,OURO,CUIDADOS FACIAIS,2244.04,12311.35,22,0.182,228,4.88,47,PADRÃO,PEDRO,11605,IGUAI,BA,BR
2021,1,BB,OURO,DESODORANTES,11668.27,39315.66,585,0.297,1429,49.62,29,PADRÃO,PEDRO,11605,IGUAI,BA,BR
2021,1,BB,OURO,EMBALAGENS,,40.39,0,0.0,,,,,,11605,IGUAI,BA,BR
2021,1,BB,OURO,GIFTS,5942.59,11268.03,69,0.527,165,9.06,18,PADRÃO,PEDRO,11605,IGUAI,BA,BR
2021,1,BB,OURO,HOME CARE,22.84,,0,,24,1.2,20,PADRÃO,PEDRO,11605,IGUAI,BA,BR
2021,1,BB,OURO,INFANTIL,3256.55,15046.89,121,0.216,466,8.46,55,PADRÃO,PEDRO,11605,IGUAI,BA,BR
2021,1,BB,OURO,MAQUIAGEM,6012.89,26960.32,281,0.223,1230,41.47,30,PADRÃO,PEDRO,11605,IGUAI,BA,BR
2021,1,BB,OURO,PERFUMARIA,3316.66,416555.85,52,0.008,7974,139.89,57,PADRÃO,PEDRO,11605,IGUAI,BA,BR
2021,1,BB,OURO,SABONETE CORPO,1689.55,10455.31,75,0.162,726,28.07,26,PADRÃO,PEDRO,11605,IGUAI,BA,BR
2021,1,BB,OURO,SOLAR,185.74,731.26,4,0.254,18,0.68,27,PADRÃO,PEDRO,11605,IGUAI,BA,BR
2021,1,BB,OURO,SUPORTE À VENDA,,9057.7,0,0.0,,,,,,11605,IGUAI,BA,BR
2021,1,BB,OURO,UNHAS,810.4,478.41,96,1.694,14,2.44,6,PADRÃO,PEDRO,11605,IGUAI,BA,BR
2021,1,BB,OURO,ÓLEOS,3314.32,4299.36,58,0.771,84,3.82,22,PADRÃO,PEDRO,11605,IGUAI,BA,BR
2021,1,CC,DIAMANTE,ACESSÓRIOS,8518.84,5510.53,277,1.546,279,9.98,28,ESPECIAL,MARIA,11090,ILHEUS,BA,BR
2021,1,CC,DIAMANTE,CABELOS,7199.73,32624.78,282,0.221,634,24.09,26,ESPECIAL,MARIA,11090,ILHEUS,BA,BR
2021,1,CC,DIAMANTE,CUIDADOS COM A BARBA,108.87,762.36,2,0.143,55,1.57,35,ESPECIAL,MARIA,11090,ILHEUS,BA,BR
2021,1,CC,DIAMANTE,CUIDADOS COM A PELE,9872.15,107856.37,237,0.092,3631,72.41,50,ESPECIAL,MARIA,11090,ILHEUS,BA,BR
2021,1,CC,DIAMANTE,CUIDADOS FACIAIS,2638.52,8129.69,24,0.325,261,4.75,55,ESPECIAL,MARIA,11090,ILHEUS,BA,BR
2021,1,CC,DIAMANTE,DESODORANTES,8358.91,36226.7,426,0.231,1090,43.63,25,ESPECIAL,MARIA,11090,ILHEUS,BA,BR
2021,1,CC,DIAMANTE,EMBALAGENS,,94.57,0,0.0,,,,,,11090,ILHEUS,BA,BR
2021,1,CC,DIAMANTE,GIFTS,2860.82,8812.98,39,0.325,124,6.37,19,ESPECIAL,MARIA,11090,ILHEUS,BA,BR
2021,1,CC,DIAMANTE,HOME CARE,22.84,,0,,19,1.13,17,ESPECIAL,MARIA,11090,ILHEUS,BA,BR
2021,1,CC,DIAMANTE,INFANTIL,2012.37,15185.1,82,0.133,398,8.21,48,ESPECIAL,MARIA,11090,ILHEUS,BA,BR
2021,1,CC,DIAMANTE,MAQUIAGEM,4267.81,23790.4,232,0.179,1061,43.88,24,ESPECIAL,MARIA,11090,ILHEUS,BA,BR
2021,1,CC,DIAMANTE,PERFUMARIA,3970.05,401714.46,57,0.01,6926,121.43,57,ESPECIAL,MARIA,11090,ILHEUS,BA,BR
2021,1,CC,DIAMANTE,SABONETE CORPO,1508.8,8131.81,58,0.186,631,24.19,26,ESPECIAL,MARIA,11090,ILHEUS,BA,BR
2021,1,CC,DIAMANTE,SOLAR,66.01,580.02,1,0.114,20,0.78,25,ESPECIAL,MARIA,11090,ILHEUS,BA,BR
2021,1,CC,DIAMANTE,SUPORTE À VENDA,,4062.74,0,0.0,,,,,,11090,ILHEUS,BA,BR
2021,1,CC,DIAMANTE,UNHAS,489.18,466.07,64,1.05,17,2.8,6,ESPECIAL,MARIA,11090,ILHEUS,BA,BR
2021,1,CC,DIAMANTE,ÓLEOS,1632.71,4847.39,28,0.337,137,3.72,37,ESPECIAL,MARIA,11090,ILHEUS,BA,BR
2021,1,DD,RUBI,ACESSÓRIOS,33001.27,12092.8,976,2.729,609,18.58,33,PADRÃO,RICARDO,29824,OIAPOQUE,AP,BR
2021,1,DD,RUBI,CABELOS,25764.62,87774.92,1019,0.294,1558,49.97,31,PADRÃO,RICARDO,29824,OIAPOQUE,AP,BR
2021,1,DD,RUBI,CUIDADOS COM A BARBA,647.2,2528.5,17,0.256,120,2.86,42,PADRÃO,RICARDO,29824,OIAPOQUE,AP,BR
2021,1,DD,RUBI,CUIDADOS COM A PELE,32561.9,241230.21,727,0.135,9485,156.27,61,PADRÃO,RICARDO,29824,OIAPOQUE,AP,BR
2021,1,DD,RUBI,CUIDADOS FACIAIS,7265.18,26295.45,72,0.276,667,9.71,69,PADRÃO,RICARDO,29824,OIAPOQUE,AP,BR
2021,1,DD,RUBI,DESODORANTES,29267.48,65528.57,1472,0.447,2806,67.88,41,PADRÃO,RICARDO,29824,OIAPOQUE,AP,BR
